,gender,ethnicity,queer,nationality
Douglas J .Eboch,Man,White,,United States
H A,Unknown,Unknown,,Unknown
A.J. Aalto,Woman,White,,Unknown
J.L. Aarne,Woman,White,,United States
Jason Aaron,Man,White,,United States
Rachel Aaron,Woman,White,,United States
Ben Aaronovitch,Man,White,,United Kingdom
Lynn Abbey,Woman,White,,United States
Alana Joli Abbott,Woman,White,,United States
Edwin Abbott Abbott,Man,White,,United Kingdom
James Abbott,Unknown,Unknown,,Unknown
Megan Abbott,Woman,White,,United States
Thiago Abdalla,Man,Unknown,,Brazil
Chelsea Abdullah,Woman,Arabic,,United States
Julia Abe,Unknown,Unknown,,Unknown
Julie Abe,Woman,Asian,,United States
Shana Abe,Woman,Unknown,,United States
Jacques Abeille,Man,White,,Unknown
Joe Abercrombie,Man,White,,United Kingdom
Fay Abernathy,Woman,White,,Germany
Narine Abgaryan,Woman,White,,Russia
Dan Abnett,Man,White,,United Kingdom
Daniel Abraham,Man,White,,United States
Matt Abraham,Man,White,,United States
Z.K. Abraham,Woman,Black,,United States
Kamee Abrahamian,Woman,White,True,Unknown
J.J. Abrams,Unknown,Unknown,,Unknown
Rii Abrego,Unknown,Unknown,,Unknown
Elizabeth Acevedo,Woman,Black,,Unknown
Kathy Acker,Unknown,Unknown,,Unknown
Danielle Ackley-McPhail,Unknown,Unknown,,Unknown
Actus,Man,White,,Unknown
Adachitoka,Unknown,Unknown,,Unknown
Bobby Adair,Man,White,,Unknown
Jennifer Adam,Unknown,Unknown,,Unknown
Villiers de L'isle Adam,Unknown,Unknown,,Unknown
Bethany Adams,Unknown,Unknown,,Unknown
Cat Adams,Unknown,Unknown,,Unknown
Dan Adams,Man,White,,Unknown
Douglas Adams,Man,White,,Unknown
Emma L. Adams,Unknown,Unknown,,Unknown
Erin E. Adams,Unknown,Unknown,,Unknown
Guy Adams,Man,White,,Unknown
John Joseph Adams,Man,White,,Unknown
M.K. Adams,Man,White,,Unknown
Richard Adams,Man,White,,Unknown
Sarah Joy Adams,Woman,White,,Unknown
Eris Adderly,Unknown,Unknown,,Unknown
Esme Addison,Unknown,Unknown,,Unknown
Katherine Addison,Woman,White,,Unknown
Maria Adelmann,Unknown,Unknown,,Unknown
Charlie Adhara,Woman,White,True,Unknown
Chimamanda Ngozi Adichie,Woman,Black,,Unknown
Shelley Adina,Unknown,Unknown,,Unknown
Nana Kwame Adjei-Brenyah,Man,Black,,Unknown
Sarah Adlakha,Woman,White,,Unknown
Dahlia Adler,Woman,White,True,Unknown
Dominic Adler,Unknown,Unknown,,Unknown
I.O. Adler,Unknown,Unknown,,Unknown
Isabelle Adler,Unknown,Unknown,,Unknown
Aedilear,Unknown,Unknown,,Unknown
Aeschylus,Unknown,Unknown,,Unknown
Aeternum,Unknown,Unknown,,Unknown
Benjamin Aeveryn,Unknown,Unknown,,Unknown
Shinju Ageha,Unknown,Unknown,,Unknown
Amanda Aggie,Unknown,Unknown,,Unknown
Akumi Agitogi,Unknown,Unknown,,Unknown
Pemi Aguda,Woman,Black,,Unknown
Juan Miguel Aguilera,Unknown,Unknown,,Unknown
Ann Aguirre,Woman,White,,Unknown
Claudia Aguirre,Unknown,Unknown,,Unknown
Roberto Aguirre-Sacasa,Man,White,True,Unknown
Renée Ahdieh,Woman,Asian,,Unknown
Ania Ahlborn,Unknown,Unknown,,Unknown
Charlotte von Ahlefeld,Woman,White,,Unknown
Senaa Ahmad,Woman,Asian,,Unknown
Saladin Ahmed,Man,Asian,,Unknown
Mari Ahokoivu,Unknown,Unknown,,Unknown
G.A. Aiken,Woman,White,,Unknown
B. Ain,Unknown,Unknown,,Unknown
Hiro Ainana,Man,Asian,,Unknown
César Aira,Unknown,Unknown,,Unknown
G. Akella,Man,White,,Unknown
W.M. Akers,Man,White,,Unknown
Zamil Akhtar,Man,Asian,,Unknown
Ueda Akinari,Man,Asian,,Unknown
Godwin Akpan,Unknown,Unknown,,Unknown
Coeur Al'Aran,Unknown,Unknown,,Unknown
Day Al-Mohamed,Man,Asian,,Unknown
Noor Al-Shanti,Woman,Asian,,Unknown
Courtney Alameda,Unknown,Unknown,,Unknown
Rabih Alameddine,Unknown,Unknown,,Unknown
Craig Alanson,Man,White,,Unknown
Edoardo Albert,Unknown,Unknown,,Unknown
Melissa Albert,Woman,White,,Unknown
Alice Albinia,Unknown,Unknown,,Unknown
Mike Albo,Unknown,Unknown,,Unknown
Kathleen Alcalá,Unknown,Unknown,,Unknown
Godwin Alcpan,Unknown,Unknown,,Unknown
Mark Alder,Unknown,Unknown,,Unknown
Naomi Alderman,Woman,White,,Unknown
Ben Alderson,Man,White,True,Unknown
Brian Aldiss,Man,White,,Unknown
Alma Alexander,Woman,White,True,Unknown
C.D. Alexander,Unknown,Unknown,,Unknown
Cassie Alexander,Unknown,Unknown,,Unknown
Coleman Alexander,Man,White,,Unknown
K.C. Alexander,Unknown,Unknown,,Unknown
Lloyd Alexander,Man,White,,Unknown
William Alexander,Man,White,,Unknown
Zeno Alexander,Unknown,Unknown,,Unknown
Sherman Alexie,Unknown,Unknown,,Unknown
Sara Alfageeh,Unknown,Unknown,,Unknown
A. Ali Hasan Ali,Man,Arabic,,United Arab Emirates
Dante Alighieri,Man,White,,Unknown
Rafeeat Aliyu,Unknown,Unknown,,Unknown
Hanna Alkaf,Unknown,Unknown,,Unknown
Kathryn Allan,Unknown,Unknown,,Unknown
Nina Allan,Unknown,Unknown,,Unknown
Natasha Allegri,Unknown,Unknown,,Unknown
Brooklyn Allen,Unknown,Unknown,,Unknown
C.W. Allen,Unknown,Unknown,,Unknown
Heidi K. Allen,Unknown,Unknown,,Unknown
Jay Allen,Unknown,Unknown,,Unknown
Nan Allen,Woman,White,,Unknown
Rachel Allen,Unknown,Unknown,,Unknown
Roger Macbride Allen,Unknown,Unknown,,Unknown
Samantha Allen,Unknown,Unknown,,Unknown
Sarah Addison Allen,Woman,White,,Unknown
Isabel Allende,Woman,Hispanic,,Unknown
Elford Alley,Unknown,Unknown,,Unknown
Wesley Allison,Unknown,Unknown,,Unknown
Aaron Allston,Man,White,,Unknown
David Almond,Unknown,Unknown,,Unknown
Mark Alpert,Unknown,Unknown,,Unknown
Alphatart,Unknown,Unknown,,Unknown
Adrian Alphona,Unknown,Unknown,,Unknown
B.B. Alston,Man,Black,,Unknown
Steve Alten,Unknown,Unknown,,Unknown
Rowan Altwood,Unknown,Unknown,,Unknown
Jennifer Lynn Alvarez,Woman,Hispanic,,Unknown
Johnnie Alward,Unknown,Unknown,,Unknown
Reni K. Amayo,Unknown,Unknown,,Unknown
Amerie,Unknown,Unknown,,Unknown
Erin Ampersand,Unknown,Unknown,,Unknown
K. Ancrum,Woman,Black,True,Unknown
Joshua Anderle,Unknown,Unknown,,Unknown
Michael Anderle,Unknown,Unknown,,Unknown
Charlie Jane Anders,Woman,White,True,Unknown
J.J. Anders,Unknown,Unknown,,Unknown
Hans Christian Andersen,Unknown,Unknown,,Unknown
Sarah Andersen,Unknown,Unknown,,Unknown
Amorette Anderson,Woman,White,,Unknown
Anderson,Unknown,Unknown,,Unknown
Annie Anderson,Unknown,Unknown,,Unknown
Brian D. Anderson,Unknown,Unknown,,Unknown
C.L. Anderson,Unknown,Unknown,,Unknown
Carol Beth Anderson,Unknown,Unknown,,Unknown
Douglas A. Anderson,Unknown,Unknown,,Unknown
E.M. Anderson,Unknown,Unknown,,Unknown
G.V. Anderson,Woman,White,,Unknown
Gerry Anderson,Man,White,,Unknown
Joseph Anderson,Unknown,Unknown,,Unknown
Justin Lee Anderson,Man,White,,Unknown
Katherine Anderson,Unknown,Unknown,,Unknown
