CARD,SUBBED OUT,SUBBED IN,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE: A book or series that received ten votes or less.,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE: Not written by Jeff VanderMeer or China Miéville.,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE: Three or more authors.,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE: Not based in Britain or Ireland.,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE: Characters are not originally from Earth. It is acceptable for the characters to be descendants of Earthlings as long as they are not themselves from Earth.,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE: Not on r/Fantasy’s Favorite Standalones List.,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE: A YA book with an anti-hero.,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE: Must read a current selection of either a book club or readalong and participate in the discussion.,SQUARE 9: TITLE,SQUARE 9: AUTHOR,"SQUARE 9: HARD MODE: Weapon has a unique name. Examples: Excalibur from Arthurian legend, Dragnipur in Malazan, Sting in Lord of the Rings, etc.",SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE: Revolution/Rebellion is the main focus of the plot.,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE: The title has the character’s first and last name. Example: The First Fifteen Lives of Harry August.,SQUARE 12: TITLE,SQUARE 12: AUTHOR,"SQUARE 12: HARD MODE: Initials are a pseudonym and not from the author’s actual name. Examples: T. Kingfisher or K. J. Parker. ADDENDUM: Please do not go snooping to see if a name fits. If it isn't clear based on an author's webpage or social media, assume that it is their real name.",SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE: It's also a debut novel--as in it's the author's first published novel.,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE: Book has an LGBTQ+ POV character.,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE: Author is of African heritage.,SQUARE 16: TITLE,SQUARE 16: AUTHOR,"SQUARE 16: HARD MODE: Non-humanoid protagonist. No elves, angels, dwarves, hobbits, or humanoid aliens.",SQUARE 17: TITLE,SQUARE 17: AUTHOR,"SQUARE 17: HARD MODE: No time travel. Book involves something off about time that’s not necessarily time travel. Example: In The Chronicles of Narnia, time moves at a different speed in Narnia than in the real world.",SQUARE 18: TITLE OF COLLECTION/ANTHOLOGY (go to 18A if you did 5 short stories),SQUARE 18: AUTHOR/EDITOR (go to 18A if you did 5 short stories),SQUARE 18: HARD MODE: Read an entire SFF anthology or collection.,SQUARE 18A: Title of Short Story #1 (Do not fill out if you read all of a collection/anthology),SQUARE 18A: Author of Short Story #1,SQUARE 18B: Title of Short Story #2 (Do not fill out if you read all of a collection/anthology),SQUARE 18B: Author of Short Story #2,SQUARE 18C: Title of Short Story #3 (Do not fill out if you read all of a collection/anthology),SQUARE 18C: Author of Short Story #3,SQUARE 18D: Title of Short Story #4 (Do not fill out if you read all of a collection/anthology),SQUARE 18D: Author of Short Story #4,SQUARE 18E: Title of Short Story #5 (Do not fill out if you read all of a collection/anthology),SQUARE 18E: Author of Short Story #5,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE: Not The Stormlight Archive or any books in the linked list.,SQUARE 20: TITLE,SQUARE 20: AUTHOR,"SQUARE 20: HARD MODE: Self-published and has fewer than 100 ratings on Goodreads, OR an indie publisher that has done an AMA with r/Fantasy.",SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE: Neither Hugo-nominated nor Nebula-nominate.,SQUARE 22: TITLE,SQUARE 22: AUTHOR,SQUARE 22: HARD MODE: A book written by an Indigenous author.,SQUARE 23: TITLE,SQUARE 23: AUTHOR,"SQUARE 23: HARD MODE: Most prominent shifter is not a wolf/dog shifter. For instance, werewolves can exist but can’t be the most notable shifter characters/main characters.",SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE: Title is three words or more.,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE: Features at least three generations in a single family.
1.0,,,Catfishing on CatNet,Naomi Kritzer,,The Jasmine Throne,Tasha Suri,Yes,"Errant, Volume One",L. K. Fleet,,A Clash of Steel,C.B. Lee,,The Spare Man,Mary Robinette Kowal,,The Cartographers,Peng Shepherd,,Little Thieves,Margaret Owen,,Machinehood,S.B. Divya,,The Other Merlin,Robyn Schneider,,Babel,R.F. Kuang,,The Unlikely Escape of Uriah Heep,H.G. Parry,,The Thousand Eyes,A.K. Larkwood,,Daughter of the Moon Goddess,Sue Lynn Tan,,After the Dragons,Cynthia Zhang,,Lagoon,Nnedi Okorafor,,"The Galaxy, and the Ground Within",Becky Chambers,,Spectred Isle,K.J. Charles,,Golden Age and Other Stories,Naomi Novik,Yes,,,,,,,,,,,Human Enough,E. S. Yu,,The Language of Roses,Heather Rose Jones,,River of Teeth,Sarah Gailey,,When the Moon Was Ours,Anna-Marie McLemore,,Of the Wild,Elizabeth Wambheim,,Comeuppance Served Cold,Marion Deeds,,The Path of Thorns,A.G. Slatter,
2.0,Set In Space,A Personal Recommendation from r/Fantasy 2019,In Midnight's Silence,T. Frohock,,High Times in the Low Parliament,Kelly Robson,Yes,Sing for the Coming of the Longest Night,Iona Datt Sharma & Kathrine Fabian,,Foul Lady Fortune,Chloe Gong,,Shards of Honor,Lois McMaster Bujold,,Tooth and Claw,Jo Walton,,Hell Bent,Leigh Bardugo,,Burning Roses,S.L. Huang,,The Valkyrie's Daughter,Tiana Warner,,This Rebel Heart,Katherine Locke,,Carmilla and Laura,S. D. Simper,,Dark Rise,C.S. Pacat,,Notorious Sorcerer,Davinia Evans,,Dead Collections,Isaac Fellman,,Son of the Storm,Suyi Davies Okungbowa,,The Voyages of Cinrak the Dapper,A.J. Fitzwater,,The Hands of the Emperor,Victoria Goddard,,"Love Beyond Body, Space & Time",Hope Nicholson,Yes,,,,,,,,,,,Sofi and the Bone Song,Adrienne Tooley,,The Bloodstained Shade,Cass Morris,,Shades of Milk and Honey,Mary Robinette Kowal,,The Order of the Pure Moon Reflected in Water,Zen Cho,,A Rake of His Own,A.J. Lancaster,,In Other Lands,Sarah Rees Brennan,,"From Dust, a Flame",Rebecca Podos,
3.0,Set in Africa,Politics 2020,In Midnight's Silence,T. Frohock,Yes,The Hematophages,Stephen Kozeniewski,Yes,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,A Marvellous Light,Freya Marske,,The Vanished Birds,Simon Jimenez,,The Darkness Outside Us,Eliot Schrefer,Yes,And I Darken,Kiersten White,Yes,A Clash of Steel,C.B. Lee,Yes,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,Shadows of the Short Days,Alexander Dan Vilhjálmsson,,Piranesi,Susanna Clarke,,The Path of Thorns,A.G. Slatter,,Kingdoms of Death,Christopher Ruocchio,,Jade City,Fonda Lee,Yes,Beyond the Hallowed Sky,Ken MacLeod,,Legends & Lattes,Travis Baldree,,Sea of Tranquility,Emily St. John Mandel,,How Long 'til Black Future Month?,N.K. Jemisin,Yes,,,,,,,,,,,Witchmark,C.L. Polk,Yes,Centers of Gravity,Marko Kloos,,City of Stairs,Robert Jackson Bennett,Yes,Babel,R.F. Kuang,,Becoming Omega,Wolf Specter,,Dark Rise,C.S. Pacat,,Bonds of Brass,Emily Skrutskie,
4.0,,,Witchmark,C.L. Polk,Yes,Mistborn,Brandon Sanderson,Yes,Dangerous Women,"George R.R. Martin, Gardner Dozois",Yes,Portal to Nova Roma,J.R. Mathews,Yes,Shards of Earth,Adrian Tchaikovsky,Yes,Battle Mage,Peter A. Flannery,Yes,The Cruel Prince,Holly Black,Yes,The Unbroken,C.L. Clark,Yes,The Sword of Kaigen,M.L. Wang,Yes,The Empress of Salt and Fortune,Nghi Vo,Yes,The Invisible Life of Addie LaRue,V.E. Schwab,Yes,A Master of Djinn,P. Djèlí Clark,Yes,Fire of the Forebears,L.A. Buck,Yes,Magic for Liars,Sarah Gailey,Yes,Children of Blood and Bone,Tomi Adeyemi,Yes,The Last Unicorn,Peter S. Beagle,Yes,The Forever War,Joe Haldeman,Yes,The Paper Menagerie and Other Stories,Ken Liu,Yes,,,,,,,,,,,Dragon Mage,M.L. Spencer,Yes,A Company of Adventurers,Rune S. Nielsen,Yes,Song for the Basilisk,Patricia A. McKillip,Yes,Future Home of the Living God,Louise Erdrich,Yes,The Hand of the Sun King,J.T. Greathouse,Yes,Black Stone Heart,Michael R. Fletcher,Yes,All the Murmuring Bones,A.G. Slatter,Yes
5.0,,,The House in the Cerulean Sea,T.J. Klune,,The Bees,Laline Paull,Yes,Perry Rhodan-Paket 21: Die Kosmische Hanse (Teil 1),Perry Rhodan Redaktion,Yes,A Radical Act of Free Magic,H.G. Parry,,The Descent of Anansi,"Larry Niven, Steven Barnes",,Pantopia,Theresa Hannig,Yes,Not Even Bones,Rebecca Schaeffer,,The Curse of Chalion,Lois McMaster Bujold,,Elric of Melniboné,Michael Moorcock,Yes,The Brave Free Men,Jack Vance,,Piranesi,Susanna Clarke,,Das Erbe der Elfenmagierin,James A. Sullivan,,Onder Asfalt,Maarten van der Graaff,,Skin Game,Jim Butcher,,King Solomon's Mines,H. Rider Haggard,,Sirius: A Fantasy of Love and Discord,Olaf Stapledon,Yes,How to Live Safely in a Science Fictional Universe,Charles Yu,,The Birthday of the World and Other Stories,Ursula K. Le Guin,Yes,,,,,,,,,,,leerling tovenaar vader en zoon,Thomas Olde Heuvelt,Yes,Elektro Krause,Patricia Eckermann,,Guards! Guards!,Terry Pratchett,Yes,The City We Became,N.K. Jemisin,,Werecockroach,Polenth Blake,,Joust,Mercedes Lackey,,Feast of the Mother,"Miranda Honfleur, Nicollette Andrews",
6.0,Book Club or Readalong Book,Found Family 2021,Foundryside,Robert Jackson Bennett,Yes,The Bone Ships,R.J. Barker,Yes,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,A Declaration of the Rights of Magicians,H.G. Parry,Yes,Consider Phlebas,Iain M. Banks,Yes,The Starless Sea,Erin Morgenstern,Yes,A Deadly Education,Naomi Novik,Yes,The Wicked + The Divine,Kieron Gillen,Yes,Runaways (full series),Brian K Vaughan,Yes,Paradise Lost,John Milton,Yes,The Unwritten (full series),Bill Willingham,Yes,Nettle & Bone,T. Kingfisher,Yes,Legends & Lattes,Travis Baldree,Yes,Succulents and Spells,Andi C. Buchanan,Yes,The Rage of Dragons,Evan Winter,Yes,"The Galaxy, and the Ground Within",Becky Chambers,Yes,The First Fifteen Lives of Harry August,Claire North,Yes,Skin and Other Stories,Roald Dahl,Yes,,,,,,,,,,,The Outside,Ada Hoffmann,Yes,Letters from a Shipwreck in the Sea of Suns and Moons,Raymond St. Elmo,Yes,Last Argument of Kings,Joe Abercrombie,Yes,A Snake Falls to Earth,Darcie Little Badger,Yes,Out of the Blue,Jason June,Yes,All Systems Red,Martha Wells,Yes,Shaman,Kim Stanley Robinson,Yes
7.0,,,The Song of Achilles,Madeline Miller,,The Hollow Places,T. Kingfisher,Yes,Sweep in Peace,Ilona Andrews,,Freedom and Necessity,"Steven Brust, Emma Bull",,Deceiver,C.J. Cherryh,Yes,Project Hail Mary,Andy Weir,Yes,The Queen of Nothing,Holly Black,Yes,Iron Widow,Xiran Jay Zhao,,Legendborn,Tracy Deonn,Yes,Daughter of the Moon Goddess,Sue Lynn Tan,,The Invisible Life of Addie LaRue,V.E. Schwab,Yes,The Mask of Mirrors,M.A. Carrick,Yes,The Grief of Stones,Katherine Addison,,Jade Legacy,Fonda Lee,Yes,"Black Leopard, Red Wolf",Marlon James,,Children of Time,Adrian Tchaikovsky,Yes,The Shadow of What Was Lost,James Islington,,Stories of Your Life and Others,Ted Chiang,Yes,,,,,,,,,,,The Calculating Stars,Mary Robinette Kowal,,The Nightmare We Know,Krista D. Ball,Yes,The Ministry for the Future,Kim Stanley Robinson,Yes,The Gilded Wolves,Roshani Chokshi,,Dragon Pearl,Yoon Ha Lee,,Network Effect,Martha Wells,,An Autumn War,Daniel Abraham,Yes
8.0,,,Silver in the Wood,Emily Tesh,Yes,All These Worlds,Dennis E. Taylor,Yes,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,,,,Children of Time,Adrian Tchaikovsky,Yes,Legends & Lattes,Travis Baldree,Yes,All Systems Red,Martha Wells,,The Color of Magic,Terry Pratchett,,Solo Leveling,Chugong,Yes,The Goblin Emperor,Katherine Addison,,Rocannon's World,Ursula K. Le Guin,,Under the Whispering Door,T.J. Klune,,Leech,Hiron Ennes,Yes,,,,,,,,,,,,,Exhalation,Ted Chiang,Yes,,,,,,,,,,,A Psalm for the Wild-Built,Becky Chambers,Yes,Every Wickedness,TJ Land,Yes,,,,,,,Vengeful,V.E. Schwab,Yes,All That's Left in the World,Erik J. Brown,Yes,Circe,Madeline Miller,Yes
9.0,Two or More Authors,Novel with a One-word Title 2018,The Last Sun,K.D. Edwards,,"To Be Taught, If Fortunate",Becky Chambers,Yes,Goldenhand,Garth Nix,,Siren Queen,Nghi Vo,Yes,How Rory Thorne Destroyed the Multiverse,K. Eason,Yes,The Wolf and the Sparrow,Isabelle Adler,Yes,The Maleficent Seven,Cameron Johnston,,Legends & Lattes,Travis Baldree,,Dreadgod,Will Wight,Yes,Soulstar,C.L. Polk,Yes,Piranesi,Susanna Clarke,,A Wizard's Guide to Defensive Baking,T. Kingfisher,Yes,The Silence of Unworthy Gods,Andrew Rowe,,Be the Serpent,Seanan McGuire,,Zoo City,Lauren Beukes,,The Grief of Stones,Katherine Addison,,Cast in Eternity,Michelle Sagara,,,,,Matriculation,Elle Katherine White,Yuli,Daniel Abraham,A Whisper of Blue,Ken Liu,Where the River Turns To Concrete,Brooke Bolander,Lucky's Dragon,Kelly Barnhill,The Deep,Rivers Solomon,Yes,Tongue Eater,John Bierce,,Shades of Milk and Honey,Mary Robinette Kowal,,Half-Resurrection Blues,Daniel José Older,,The Cloud Roads,Martha Wells,Yes,Comfort Me With Apples,Catherynne M. Valente,Yes,The Lost Metal,Brandon Sanderson,
10.0,,,Inda,Sherwood Smith,Yes,The Outskirter's Secret,Rosemary Kirstein,Yes,The Vela,"Yoon Ha Lee, Becky Chambers, Rivers Solomon, S.L. Huang",Yes,River of Stars,Guy Gavriel Kay,Yes,Ancestral Night,Elizabeth Bear,Yes,Black Water Sister,Zen Cho,,These Violent Delights,Chloe Gong,Yes,The Color of Magic,Terry Pratchett,,Clean Sweep,Ilona Andrews,,She Who Became the Sun,Shelley Parker-Chan,Yes,Seraphina,Rachel Hartman,,Betrayer,C.J. Cherryh,,Blitz,Daniel O'Malley,,The Amulet of Samarkand,Jonathan Stroud,,Akata Witch,Nnedi Okorafor,Yes,The Builders,Daniel Polansky,Yes,The Space Between Worlds,Micaiah Johnson,Yes,I'm Waiting for You: and Other Stories,Kim Bo-young,Yes,,,,,,,,,,,Winter's Orbit,Everina Maxwell,,The Nothing Within,Andy Giesler,,Nine Princes in Amber,Roger Zelazny,Yes,Elatsoe,Darcie Little Badger,Yes,Sorcerous Rivalry,Kayleigh Nicol,Yes,"Moon Witch, Spider King",Marlon James,Yes,The Hands of the Emperor,Victoria Goddard,Yes
