,CARD,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE OF COLLECTION/ANTHOLOGY (go to 9A if you did not do Hard Mode),SQUARE 9: AUTHOR/EDITOR (go to 9A if you did not do Hard Mode),SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,"SQUARE 9A: Title of Short Story #1 (Do not fill out if you read a collection/anthology, go to 9 above)",SQUARE 9A: Author of Short Story #1,"SQUARE 9B: Title of Short Story #2 (Do not fill out if you read a collection/anthology, go to 9 above)",SQUARE 9B: Author of Short Story #2,"SQUARE 9C: Title of Short Story #3 (Do not fill out if you read a collection/anthology, go to 9 above)",SQUARE 9C: Author of Short Story #3,"SQUARE 9D: Title of Short Story #4 (Do not fill out if you read a collection/anthology, go to 9 above)",SQUARE 9D: Author of Short Story #4,"SQUARE 9E: Title of Short Story #5 (Do not fill out if you read a collection/anthology, go to 9 above)",SQUARE 9E: Author of Short Story #5,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE: Author is of Middle Eastern heritage.,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE: It's also a debut novel--as in it's the author's first published novel.,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE: Characters do not walk through a literal door in order to get to another world.,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,"SQUARE 15: HARD MODE: Novel takes place in a futuristic, sci-fi world.",SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE: Must read a current selection of either a book club or readalong and participate in the discussion.,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE: Novella is NOT published by Tordotcom Publishing.,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,"SQUARE 18: HARD MODE: No dragons or dragon-like creatures (e.g. wyverns, the draccus in The Name of the Wind).",SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE: Not V. E. Schwab’s Shades of Magic series or Jim Butcher’s Codex Alera series.,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE: Not Greek or Roman mythology.,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,"SQUARE 21: HARD MODE: Not a futuristic setting. Takes place in a time akin to ours, in the past, or in a fantasy world that has no science fiction elements.",SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE,SQUARE 22: AUTHOR,SQUARE 22: HARD MODE: The book also features seafaring.,SQUARE 22: SUBSTITUTION,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE: Not The Iron Druid Chronicles by Kevin Hearne.,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE: Robot is the protagonist.,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE: Book 3 or later in the series.,SQUARE 25: SUBSTITUTION
1,1,Admiral,Sean Danker,Yes,,Rising Stars Compendium,J. Michael Straczynski & Fiona Avery,Yes,,To the Resurrection Station,Eleanor Arnason,,The Storyteller's Death,Ann Dávila Cardinal,Yes,,The Scorpio Races,Maggie Stiefvater,,,Foreigner,C.J. Cherryh,Yes,,Inda,Sherwood Smith,Yes,,Revelation,Carol Berg,,,Accessing the Future,"Kathryn Allan, Djibril al-Ayad",Yes,,,,,,,,,,,,The Girl with All the Gifts,M.R. Carey,Yes,,Ace of Saints,Lawrence M. Schoen,Yes,,Stone,Alter S. Reiss,Yes,,Witch King,Martha Wells,,,The Two of Them,Joanna Russ,Yes,,In the Vanisher's Palace,Aliette de Bodard,Yes,,All the Murmuring Bones,A.G. Slatter,,,Over All the Earth,Alexandra Rowland,Yes,,The Green Man's Heir,Juliet E. McKenna,,,From Unseen Fire,Cass Morris,Yes,,Vassa in the Night,Sarah Porter,Yes,,The Unspoken Name,A.K. Larkwood,Yes,,The House in the Cerulean Sea,T.J. Klune,,,The Enchanted Hacienda,J. C. Cervantes,Yes,,Day by Night,Tanith Lee,,,Labyrinth's Heart,M.A. Carrick,Yes,
2,2,Justice of Kings,Richard Swan,,,The Infinite Noise,Lauren Shippen,Yes,,Monkey King,Wu Cheng'en,,Weyward,Emilia Hart,Yes,,To Shape Dragon's Breath,Moniquill Blackgoose,Yes,,A Memory Called Empire,Arkady Martine,Yes,,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",Yes,,Without Light or Guide,T. Frohock,Yes,,A Natural History of Hell,Jeffrey Ford,Yes,,,,,,,,,,,,When the Night Bells Ring,Jo Kaplan,Yes,,Orconomics,J. Zachary Pike,,,The Hidden Palace,Helene Wecker,,,The Fairy Bargains of Prospect Hill,Rowenna Miller,,,Dragon Age: Asunder,David Gaider,Yes,,The Kingdom of Gods,N.K. Jemisin,,,The Last Dragoners of Bowbazar,Indra Das,Yes,,The Past is Red,Catherynne M. Valente,,,Into the Drowning Deep,Mira Grant,Yes,,From Unseen Fire,Cass Morris,Yes,,Ariadne,Jennifer Saint,,,A Taste of Gold and Iron,Alexandra Rowland,Yes,,Owlish,Dorothy Tse,,,Moonheart,Charles de Lint,Yes,,Artemis,Andy Weir,,,Toll the Hounds,Steven Erikson,Yes,
3,3,The Bone Maker,Sarah Beth Durst,Yes,,See These Bones,Chris Tullbane,Yes,,Bone Gap,Laura Ruby,,Every Bone a Prayer,Ashley Blooms,Yes,,The Bone Houses,Emily Lloyd-Jones,Yes,,The Bards of Bone Plain,Patricia A. McKillip,Yes,,Boneshaker,Cherie Priest,Yes,,Daughter of Smoke and Bone,Laini Taylor,Yes,,Rags and Bones,"Melissa Marr, Tim Pratt",Yes,,,,,,,,,,,,Nettle & Bone,T. Kingfisher,Yes,,Gay T-Rex Law Firm: Executive Boner,Chuck Tingle,Yes,,City of Bones,Martha Wells,,,Bookshops and Bonedust,Travis Baldree,,,Elric of Melniboné,Michael Moorcock,Yes,,Oracle Bone,Lydia Kwa,,,The Bone Orchard,Sara A. Mueller,,,Down Among the Sticks and Bones,Seanan McGuire,,,All the Murmuring Bones,A.G. Slatter,Yes,,The Bone Witch,Rin Chupeco,Yes,,The Bone Spindle,Leslie Vedder,Yes,,The Bone Shard Daughter,Andrea Stewart,Yes,,The Coral Bones,E.J. Swift,,,Saint Brigid's Bones,Philip Freeman,Yes,,Banneker Bones and the Giant Robot Bees,Robert Kent,,,The Bone Ship's Wake,R.J. Barker,Yes,
4,4,Arrows of the Queen,Mercedes Lackey,,,Faith Taking Flight,Julie Murphy,,,The Princess Bride,William Goldman,,The Lions of Al-Rassan,Guy Gavriel Kay,,,Days of Blood and Starlight,Laini Taylor,,,Sourdough,Robin Sloan,,,Graceling,Kristin Cashore,Yes,,Dreadful Company,Vivian Shaw,,,The Hidden Girl,Ken Liu,Yes,,,,,,,,,,,,One Dark Window,Rachel Gillig,Yes,,A Rake of His Own,A.J. Lancaster,,,The City of Brass,S.A. Chakraborty,,,To Shape A Dragon's Breath,Moniquill Blackgoose,Yes,,Where the Drowned Girls Go,Seanan McGuire,,,The Hacienda,Isabel Cañas,,,The Philosopher's Flight,Tom Miller,,,Spear,Nicola Griffith,,,Dragonhaven,Robin McKinley,,,Air Awakens,Elise Kova,Yes,,Daughter of the Forest,Juliet Marillier,Yes,,System Collapse,Martha Wells,,,The Bone Shard Emperor,Andrea Stewart,Yes,,The Druid's Call,E.K. Johnston,Yes,,In The Lives of Puppets,T.J. Klune,,,The Ikessar Falcon,K.S. Villoso,,
5,5,The King of Faerie,A.J. Lancaster,,,The Mimicking of Known Successes,Malka Ann Older,,Mystery Plot 2021,Arrow's Flight,Mercedes Lackey,,Our Wives Under the Sea,Julia Armfield,Yes,,Sabriel,Garth Nix,,,The Bookshop and the Barbarian,Morgan Stang,Yes,,Sunshine,Robin McKinley,Yes,,Grave Importance,Vivian Shaw,,,The River of Silver,S.A. Chakraborty,Yes,,,,,,,,,,,,Camp Damascus,Chuck Tingle,Yes,,Of Iron and Gold,Lexa Luthor,,,Spice Road,Maiya Ibrahim,Yes,,Labyrinth's Heart,M.A. Carrick,,,Lost in the Moment and Found,Seanan McGuire,,,Faebound,Saara El-Arifi,,,Emily Wilde's Enclcyopaedia of Faeries,Heather Fawcett,,,The Call of Ctulhu,H.P. Lovecraft,Yes,,The Dragon of Jin-Sayeng,K.S. Villoso,,,Beasts of Extraordinary Circumstance,Ruth Emmie Lang,Yes,,A Court of Sugar and Spice,Rebecca F. Kenney,Yes,,Swordheart,T. Kingfisher,Yes,,The Bone Shard War,Andrea Stewart,Yes,,Flowerheart,Catherine Bakewell,Yes,,Network Effect,Martha Wells,Yes,,City of Miracles,Robert Jackson Bennett,Yes,
6,6,The Hands of the Emperor,Victoria Goddard,,,Please Don't Tell My Parents I'm a Supervillain,Richard Roberts,Yes,,The Way of Kings,Brandon Sanderson,,Sourdough,Robin Sloan,Yes,,The Amulet of Samarkand,Jonathan Stroud,,,The Wizard's Butler,Nathan Lowell,,,Rule of Two,Drew Karpyshyn,Yes,,Battle Mage,Peter A. Flannery,,,Murder by Magic: Twenty Tales of Crime and the Supernatural,Rosemary Edghill,Yes,,,,,,,,,,,,Frankenstein,Mary Shelley,Yes,,The Last Echo of the Lord of Bells,John Bierce,,,The Stardust Thief,Chelsea Abdullah,Yes,,Waybound,Will Wight,,,The Kaiju Preservation Society,John Scalzi,,,Street Cultivation,Sarah Lin,Yes,,Legends & Lattes,Travis Baldree,,,The Boot Mage: A Tale of Shoecraft and Sorcery,Darren Askins,Yes,,Miss Percy's Pocket Guide to the Care and Feeding of British Dragons,Quenby Olson,,,Furies of Calderon,Jim Butcher,,,Tooth and Claw,Jo Walton,Yes,,The Silence of Unworthy Gods,Andrew Rowe,,,The Bone Ship's Wake,R.J. Barker,Yes,,Od Magic,Patricia A. McKillip,Yes,,"Your Forma, Vol. 1",Mareho Kikuishi,Yes,,Cinnamon Bun 3,RavensDagger,Yes,
7,7,Condomnauts,Yoss,Yes,,The Meister of Decimen City,Brenna Raney,Yes,,Total Incal,Alejandro Jodorowsky & Moebius,,What You Are Looking for is in the Library,Michiko Aoyama,Yes,,The Tatami Time Machine Blues,Tomihiko Morimi,Yes,,DallerGut Dream Department Store,Lee Mi-ye,Yes,,"The Scarlet Fig: Or, Slowly Through a Land of Stone",Avram Davidson,Yes,,King Bullet,Richard Kadrey,Yes,,The Book of Magic,Gardner Dozois,Yes,,,,,,,,,,,,Wish You Weren't Here,Gabby Hutchinson Crouch,Yes,,The Blood of Crows,Alex C. Pierce,Yes,,Your Wish Is My Command,Deena Mohamed,Yes,,Grave Expectations,Alice Bell,Yes,,Terrace Story,Hilary Leichter,Yes,,Counterweight,Djuna,Yes,,The Adventures of Amina al-Sirafi,S.A. Chakraborty,Yes,,The Labyrinth's Archivist,Day Al-Mohamed,Yes,,Untethered Sky,Fonda Lee,Yes,,Spider's Bite,Jennifer Estep,Yes,,Spear,Nicola Griffith,Yes,,A Choir of Lies,Alexandra Rowland,Yes,,The Mermaid of Black Conch,Monique Roffey,Yes,,The Moonday Letters,Emmi Itäranta,Yes,,The Alchemy of Stone,Ekaterina Sedia,Yes,,Love Will Tear Us Apart,C.K. McDonnell,Yes,
8,8,Soldier of the Mist,Gene Wolfe,Yes,,The Rocketeer - The Great Race,Stephen Mooney,Yes,,Bauchelain and Korbal Broach,Steven Erikson,,The Miracles of the Namiya General Store,Keigo Higashino,Yes,,Wench,Maxine Kaplan,Yes,,City of Last Chances,Adrian Tchaikovsky,Yes,,I Have Waited and You Have Come,Martine McDonagh,Yes,,Demon Daughter,Lois McMaster Bujold,Yes,,Hit Parade of Tears,Izumi Suzuki,Yes,,,,,,,,,,,,The Silver Coin,Michael Walsh et. al.,Yes,,The Nameless Restaurant,Tao Wong,,,When Gravity Fails,George Alec Effinger,,,The Circumference of the World,Lavie Tidhar,,,Europe in Autumn,Dave Hutchinson,Yes,,A Stranger in the Citadel,Tobias S. Buckell,Yes,,The Color of Magic,Terry Pratchett,,,Amphibian,Christina Neuwirth,Yes,,The Dragon Machine,Ben S. Dobson,,,The Long Chain,Dan Willis,Yes,,You Dreamed of Empires,Alvaro Enrigue,Yes,,On A Red Station Drifting,Aliette de Bodard,,,Shanghai Immortal,A.Y. Chao,,,The Harp and the Blade,John Myers Myers,Yes,,Your Utopia,Bora Chung,Yes,,Hour of the Octopus,Joel Rosenberg,,
9,9,Assassin's Creed: The Golden City,Jaleigh Johnson,Yes,,The Meister of Decimen City,Brenna Raney,Yes,,Sixteen Ways to Defend a Walled City,K.J. PARKER,,City of the Beasts,Isabel Allende,Yes,,City of Bones,Cassandra Clare,,,The City & the City,China Miéville,,,Chasm City,Alastair Reynolds,Yes,,The Hidden City,Michelle West,,,Tales of the Frozen City,Joseph A. McCullough,Yes,,,,,,,,,,,,Hollow City,Ransom Riggs,Yes,,City of Boneheads,Steve Lookner,Yes,,City of Bones,Martha Wells,,,Victory City,Salman Rushdie,,,City of Light,Will Wight,Yes,,The City Inside,Samit Basu,Yes,,The City in the Middle of the Night,Charlie Jane Anders,,,In the Watchful City,S. Qiouyi Lu,,,City of Stairs,Robert Jackson Bennett,Yes,,The City of Brass,S.A. Chakraborty,Yes,,City of Wishes: The Complete Cinderella Story,Rachel Morgan,Yes,,City of Lies,Sam Hawke,,,The City of Lost Fortunes,Bryan Camp,,,City of Seduction,Jean-Luc Istin,Yes,,The Just City,Jo Walton,,,City of Ships,Mary Hoffman,Yes,
10,10,Guards! Guards!,Terry Pratchett,Yes,,A Hero Born,Jin Yong,Yes,,Tigana,Guy Gavriel Kay,,Remarkably Bright Creatures,Shelby Van Pelt,Yes,,Savi and the Memory Keeper,Bijal Vachharajani,Yes,,Project Hail Mary,Andy Weir,Yes,,Catching Fire,Suzanne Collins,,,The Warded Man,Peter V. Brett,,,,,,,The Belt of the Buried Gods,Hugh Howey,Out of No Man's Land,Hugh Howey,Return to Danvar,Hugh Howey,Thunder Due East,Hugh Howey,A Rap Upon Heaven's Gate,Hugh Howey,Nettle & Bone,T. Kingfisher,Yes,,"The Long Way to a Small, Angry Planet",Becky Chambers,,Set in Space 2022,The Alchemist,Paulo Coelho,,,The Frugal Wizard’s Handbook for Surviving Medieval England,Brandon Sanderson,,,Piranesi,Susanna Clarke,Yes,,She Who Became the Sun,Shelley Parker-Chan,,,7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,,,The Slow Regard for Silent Things,Patrick Rothfuss,Yes,,Fourth Wing,Rebecca Yarros,,,The City of Brass,S.A. Chakraborty,Yes,,"The Inquisitor's Tale: Or, The Three Magical Children and Their Holy Dog",Adam Gidwitz,Yes,,Legends & Lattes,Travis Baldree,Yes,,The Farthest Shore,Ursula K. Le Guin,Yes,,A Peculiar Peril,Jeff VanderMeer,Yes,,A Rover's Story,Jasmine Warga,Yes,,Wizard and Glass,Stephen King,Yes,
