CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
1,8,Yes,The Hum and the Shiver,Alex Bledsoe,Yes,,The Surviving Sky,Kritika H. Rao,,,The Luminous Dead,Caitlin Starling,Yes,,Foundryside,Robert Jackson Bennett,Yes,,The Thousand Eyes,A.K. Larkwood,,,The Dragon Waiting,John M. Ford,Yes,,The Bards of Bone Plain,Patricia A. McKillip,Yes,,Winter Tide,Ruthanna Emrys,,,A Three-Letter Name,Annie Lisenby,,,The Undertaking of Hart and Mercy,Megan Bannen,,,"The Practice, the Horizon, and the Chain",Sofia Samatar,,,Give Way to Night,Cass Morris,Yes,,The Briar Book of the Dead,A.G. Slatter,,,The Whispering Dark,Kelly Andrew,Yes,,First Test,Tamora Pierce,,,Cold Counsel,Chris Sharp,Yes,,The Phoenix in Flight,Sherwood Smith & Dave Trowbridge,,,Sweep of Stars,Maurice Broaddus,,,Pod,Laline Paull,Yes,,The Last Hour Between Worlds,Melissa Caruso,,,Assassin of Reality,"Marina Dyachenko, Sergey Dyachenko",Yes,,Lost Places,Sarah Pinsker,Yes,,,,,,,,,,,,The World We Make,N.K. Jemisin,,,Unconquerable Sun,Kate Elliott,,,Bloodchild and Other Stories,Octavia E. Butler,,,4. Criminals,9. Self-Published or Indie Publisher
2,9,Yes,First Test,Tamora Pierce,Yes,,Cold Counsel,Chris Sharp,,,Under the Surface,Laline Paull,Yes,,The Last Hour Between Worlds,Melissa Caruso,,,Give Way to Night,Cass Morris,,,The Undertaking of Hart and Mercy,Megan Bannen,,,The Hum and the Shiver,Alex Bledsoe,,,The World We Make,N.K. Jemisin,,,Lost Places,Sarah Pinsker,Yes,,The Whispering Dark,Kelly Andrew,,,Assassin of Reality,"Marina Dyachenko, Sergey Dyachenko",,,Sweep of Stars,Marcus Broaddus,Yes,,"The Practice, the Horizon, and the Chain",Sofia Samatar,,,A Three-Letter Name,Annie Lisby,Yes,,The Phoenix in Flight,Sherwood Smith and Dave Trowbridge,Yes,,The Thousand Eyes,A.K. Larkwood,Yes,,Unconquerable Sun,Kate Elliott,Yes,,The Surviving Sky,Kritika H. Rao,Yes,,The Luminous Dead,Caitlin Starling,Yes,,The Bards of Bone Plain,Patricia A. McKillip,Yes,,The Briar Book of the Dead,A.G. Slatter,,,Bloodchild and Other Stories,Octavia E. Butler,Yes,,,,,,,,,,,,Winter Tide,Ruthanna Emrys,,,The Dragon Waiting,John M. Ford,,,Foundryside,Robert Jackson Bennett,,,21. Set in a Small Town,"16. Orcs, Trolls, and Goblins — Oh My!"
3,1,Yes,All Systems Red,Martha Wells,Yes,,The Lies of Locke Lamora,Scott Lynch,Yes,,Twenty Thousand Leagues Under the Sea,Jules Verne,Yes,,Shorefall,Robert Jackson Bennett,Yes,,A Sorceress Comes to Call,T. Kingfisher,,,Well Prescribe You a Cat,Syou Ishida,,,Dragon Age: The Masked Empire,Patrick Weekes,Yes,,Gideon the Ninth,Tamsyn Muir,,,The Dispossessed,Ursula K. Le Guin,,Revolutions and Rebellions 2022,Divine Rivals,Rebecca Ross,,,A Deadly Education,Naomi Novik,,,All the Birds in the Sky,Charlie Jane Anders,,,The Fox Maidens,Robin Ha,,,In the Lives of Puppets,T.J. Klune,Yes,,The Thief of Always,Clive Barker,,,The Goblin Emperor,Katherine Addison,Yes,,The Vanished Birds,Simon Jimenez,,,The Haunting of Tram Car 015,P. Djèlí Clark,,,Driftwood,Marie Brennan,Yes,,The Maker of Swans,Paraic O’Donnell,,,The Vine Witch,Luanne G. Smith,Yes,,Never Whistle at Night,"Shane Hawk, Theodore C. Van Alst Jr.",Yes,,,,,,,,,,,,Are You Listening?,Tillie Walden,Yes,,The Cartographers,Peng Shepherd,,,The Lark and the Wren,Mercedes Lackey,Yes,,20. Judge A Book By Its Cover,9. Self-Published or Indie Publisher
4,F,Yes,Titus Groan,Mervyn Peake,Yes,,The Haunting of Hajji Hotak and Other Stories,Jaim Jan Kochai,Yes,,City of Saints and Madmen,Jeff VanderMeer,Yes,,Roadside Picnic,"Arkady Strugatsky, Boris Strugatsky",Yes,,The Employees: A Workplace Novel of the 22nd Century,Olga Ravn,Yes,,The Book of Imaginary Beings,Jorge Luis Borges,Yes,,Babel-17,Samuel R. Delany,Yes,,The Spear Cuts Through Water,Simon Jimenez,Yes,,Souls of Darkness,Gary Butterfield,Yes,,Troll: A Love Story,Johanna Sinisalo,Yes,,The City & the City,China Miéville,Yes,,Lanny,Max Porter,Yes,,This Wretched Valley,Jenny Kiefer,Yes,,The Obscene Bird of Night,Jose Donoso,Yes,,Blue Lard,Vladimir Sorokin,Yes,,Grendel,John Gardner,Yes,,Ninefox Gambit,Yoon Ha Lee,Yes,,Vagabonds!,Eloghosa Osunde,Yes,,Beloved,Toni Morrison,Yes,,Invisible Cities,Italo Calvino,Yes,,Subdivision,J. Robert Lennon,Yes,,Bliss Montage,Ling Ma,Yes,,,,,,,,,,,,The Fisherman,John Langan,Yes,,Biography of X,Catherine Lacey,Yes,,The Book of Love,Kelly Link,Yes,,3. Under the Surface,25. Book Club or Readalong Book
5,1,,Inheritance,Nora Roberts,,,Aftermarket AfterIife,Seanan McGuire,,,Starling House,Alix E. Harrow,,,Poison Study,Maria V. Snyder,,,Perilous Times,Thomas D. Lee,,,Dragon Rider,Taran Matharu,Yes,,The Lark and the Wren,Mercedes Lackey,Yes,,A Lady’s Choice,Krista D. Ball,Yes,,Sanctuary,Ilona Andrews,,,The Undertaking of Hart and Mercy,Megan Bannen,,,Ninth House,Leigh Bardugo,Yes,,North Woods,Daniel Mason,,,The Book of Love,Kelly Link,Yes,,The Warm Hands of Ghosts,Katherine Arden,Yes,,King’s Dragon,Kate Elliott,Yes,,Bookshops & Bonedust,Travis Baldree,Yes,,Ocean’s Echo,Everina Maxwell,Yes,,Primal Mirror,Nalini Singh,,,Alone,Megan E. Freeman,Yes,,A Magical Girl Retires,Park Seolyeon,,,Witch of Wild Things,Raquel Vasquez Gilliland,Yes,,The Way Spring Arrives and Other Stories,"Yu Chen, Regina Kanyu Wang",Yes,,,,,,,,,,,,The Book of Elsewhere,Keanu Reeves and China Mieville,Yes,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,,,Not Another Vampire Book,Cassandra Gannon,,,20. Judge A Book By Its Cover,11. Dark Academia
6,3,,Paladin's Grace,T. Kingfisher,Yes,,Duckett & Dyer: Dicks for Hire,G.M. Nair,Yes,,Dungeon Crawler Carl,Matt Dinniman,Yes,,Six of Crows,Leigh Bardugo,Yes,,Hell's Wardens,Pirateaba,Yes,,Night Shift Dragons,Rachel Aaron,Yes,,The Lark and the Wren,Mercedes Lackey,Yes,,Shadow and Betrayal,Daniel Abraham,Yes,,The Last Fang of God,Ryan Kirk,Yes,,A Restless Truth,Freya Marske,Yes,,The Atlas Six,Olivie Blake,Yes,,The Brightest Shadow,Sarah Lin,Yes,,Someone You Can Build a Nest In,John Wiswell,Yes,,The Spear Cuts Through Water,Simon Jimenez,Yes,,A Song for Arbonne,Guy Gavriel Kay,Yes,,Bookshops & Bonedust,Travis Baldree,Yes,,Furious Heaven,Kate Elliott,Yes,,The Space Between Worlds,Micaiah Johnson,Yes,,The Surviving Sky,Kritika H. Rao,Yes,,Time Burrito,Aaron Frale,Yes,,Artemis,Andy Weir,Yes,,The Gorgon Incident and Other Stories,John Bierce,Yes,,,,,,,,,,,,Of Sea and Shadow,Will Wight,Yes,,Wind and Truth,Brandon Sanderson,Yes,,Some Desperate Glory,Emily Tesh,Yes,,20. Judge A Book By Its Cover,5. Dreams
7,1,,The Justice of Kings,Richard Swan,Yes,,The Book That Wouldn't Burn,Mark Lawrence,,,The Fifth Season,N.K. Jemisin,Yes,,Foundryside,Robert Jackson Bennett,Yes,,The Spear Cuts Through Water,Simon Jimenez,Yes,,Beware of Chicken,CasualFarmer,,,A River Enchanted,Rececca Ross,Yes,,Going Postal,Terry Pratchett,Yes,,Angels Before Man,Rafael Nicolas,Yes,,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",Yes,,Vita Nostra,"Marina Dyachenko, Sergey Dyachenko",Yes,,Ninth House,Leigh Bardugo,Yes,,Faebound,Saara El-Arifi,,,Before The Are Hanged,Joe Abercrombie,Yes,,Assassin's Apprentice,Robin Hobb,Yes,,The Goblin Emperor,Katherine Addison,Yes,,Morning Star,Pierce Brown,,,Iron Widow,Xiran Jay Zhao,Yes,,Vicious,V.E. Schwab,Yes,,Dead Mans Hand,James J. Butcher,Yes,,The Raven Boys,Maggie Stiefvater,Yes,,Nightmares and Dreamscapes Volume 2,Stephen King,Yes,,,,,,,,,,,,Godkiller,Hannah Kaner,Yes,,The Blacktongue Thief,Christopher Buehlman,Yes,,In Other Lands,Sarah Rees Brennan,Yes,,20. Judge A Book By Its Cover,5. Dreams
8,0,Yes,A Shadow in Summer,Daniel Abraham,Yes,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,,,Starling House,Alix E. Harrow,,,The Thief,Megan Whalen Turner,Yes,,The Liar's Knot,M.A. Carrick,,,King's Dragon,Kate Elliott,Yes,,The Name of the Wind,Patrick Rothfuss,,,The Way of Kings,Brandon Sanderson,Yes,,Emperor of Thorns,Mark Lawrence,,Title With a Title,Daughter of the Forest,Juliet Marillier,,,The Will of the Many,James Islington,,,Kubera: One Last God,Currygom,Yes,,When Among Crows,Veronica Roth,,,Piranesi,Susanna Clarke,Yes,,Neverwhere,Neil Gaiman,,,Dungeon Crawler Carl,Matt Dinniman,,,Red Rising,Pierce Brown,,,The Fifth Season,N.K. Jemisin,,,Sunshine,Robin McKinley,Yes,,The Book of Koli,M.R. Carey,Yes,,Night of Knives,Ian C. Esslemont,,,Sharp Ends,Joe Abercrombie,Yes,,,,,,,,,,,,House of Leaves,Mark Z. Danielewski,Yes,,Forge of Darkness,Steven Erikson,Yes,,The Tainted Cup,Robert Jackson Bennett,Yes,,2. Alliterative Title,25. Book Club or Readalong Book
9,6,Yes,The Last Dragonslayer,Jasper Fforde,Yes,,Dark Arts and a Daiquiri,Annette Marie,,,The Butcher's Masquerade,Matt Dinniman,Yes,,The Dragon Business,Kevin J. Anderson,,,Tree of Aeons,spaizzzer,,,Unicorn Precinct,Keith R.A. DeCandido,Yes,,The Return of Fitzroy Angursell,Victoria Goddard,,,Oathbreakers Anonymous,Scott Warren,Yes,,Return of the Runebound Professor,Actus,,,A Magic of Magic and Magic,Ember East,,,Blood Over Bright Haven,M.L. Wang,,,Jonathan Strange & Mr. Norrell,Susanna Clarke,,,Library System Reset: Overdue,K.T. Hanna,,,The Fey Hotel,Vermilion H Baine,Yes,,Dark Lord of Derkholm,Diana Wynne Jones,,,Grunts,Mary Gentle,Yes,,The Captain,Will Wight,,,All You Need Is Kill,Hiroshi Sakurazaka,,,Project Hail Mary,Andy Weir,Yes,,Feathers of Gold,Rowan Silver,,,Baking Bad,Kim M. Watt,Yes,,Don't Touch That!: A Sci-Fi & Fantasy Parenting Anthology,Jaymee Goh,Yes,,,,,,,,,,,,The Apocalypse Codex,Charles Stross,,,The Menocht Loop,Lorne Ryburn,,,Children of Time,Adrian Tchaikovsky,,,"16. Orcs, Trolls, and Goblins — Oh My!",
10,3,Yes,Before the Coffee gets cold,Toshikazu Kawaguchi,Yes,,The Brides of High Hill,Nghi Vo,,,Adrift in Currents Clean and Clear,Seanan McGuire,Yes,,House of Open Wounds,Adrian Tchaikovsky,Yes,,Lent,Jo Walton,,,Sharks in The Time of Saviours,Kawai Strong Washburn,,,The Jinn-Bot of Shantiport,Samit Basu,,,Babel,R.F. Kuang,Yes,,The Sign of The Dragon,Mary Soon Lee,Yes,,The Two Princes,Kevin Christopher Snipes,Yes,,Piranesi,Susanna Clarke,Yes,,Jade War,Fonda Lee,Yes,,The Market of 100 Fortunes,Marie Brennan,,,Tress of the Emerald Sea,Brandon Sanderson,,,Sabriel,Garth Nix,Yes,,The Long Earth,"Terry Pratchett, Stephen Baxter",,,The Day lasts more than a hundred years,Chinghiz Aitmatov,,Literary Fantasy 2023,Lapvona,Ottessa Moshfegh,,,Moon of the Crusted Snow,Waubgeshig Rice,,,Witch Hat Atelier,Kamome Shirahama,Yes,,One Hundred Years of Solitude,Gabriel García Márquez,Yes,,Outlaws of Thunder Junction,"Akemi Dawn Bowman, Alison Lührs, H.E. Hedgmon, Isaac Fellmann,",Yes,,,,,,,,,,,,Die Insel der tausend Leuchttürme,Walter Moers,Yes,,Das Glasperlenspiel,Hermann Hesse,Yes,,The Beast Player,Nahoko Uehashi,Yes,,13. Published in 2024,10. Romantasy
