,gender,ethnicity,queer,nationality
Douglas J .Eboch,Unknown,Unknown,,Unknown
H A,Unknown,Unknown,,Unknown
A.J. Aalto,Unknown,Unknown,,Unknown
J.L. Aarne,Unknown,Unknown,,Unknown
Jason Aaron,Unknown,Unknown,,Unknown
Rachel Aaron,Woman,White,False,Unknown
Ben Aaronovitch,Man,White,False,Unknown
Lynn Abbey,Unknown,Unknown,,Unknown
Alana Joli Abbott,Unknown,Unknown,,Unknown
Edwin Abbott Abbott,Unknown,Unknown,,Unknown
James Abbott,Unknown,Unknown,,Unknown
Megan Abbott,Unknown,Unknown,,Unknown
Thiago Abdalla,Unknown,Unknown,,Unknown
Chelsea Abdullah,Woman,Asian,False,Unknown
Julia Abe,Unknown,Unknown,,Unknown
Julie Abe,Woman,Asian,False,Unknown
Shana Abe,Unknown,Unknown,,Unknown
Jacques Abeille,Man,White,False,Unknown
Joe Abercrombie,Man,White,False,Unknown
Fay Abernathy,Unknown,Unknown,,Unknown
Narine Abgaryan,Unknown,Unknown,,Unknown
Dan Abnett,Man,White,False,Unknown
Daniel Abraham,Man,White,False,Unknown
Matt Abraham,Unknown,Unknown,,Unknown
Z.K. Abraham,Unknown,Unknown,,Unknown
Kamee Abrahamian,Woman,White,True,Unknown
J.J. Abrams,Unknown,Unknown,,Unknown
Rii Abrego,Unknown,Unknown,,Unknown
Elizabeth Acevedo,Woman,Black,False,Unknown
Kathy Acker,Unknown,Unknown,,Unknown
Danielle Ackley-McPhail,Unknown,Unknown,,Unknown
Actus,Man,White,False,Unknown
Adachitoka,Unknown,Unknown,,Unknown
Bobby Adair,Man,White,False,Unknown
Jennifer Adam,Unknown,Unknown,,Unknown
Villiers de L'isle Adam,Unknown,Unknown,,Unknown
Bethany Adams,Unknown,Unknown,,Unknown
Cat Adams,Unknown,Unknown,,Unknown
Dan Adams,Man,White,False,Unknown
Douglas Adams,Man,White,False,Unknown
Emma L. Adams,Unknown,Unknown,,Unknown
Erin E. Adams,Unknown,Unknown,,Unknown
Guy Adams,Man,White,False,Unknown
John Joseph Adams,Man,White,False,Unknown
M.K. Adams,Man,White,False,Unknown
Richard Adams,Man,White,False,Unknown
Sarah Joy Adams,Woman,White,False,Unknown
Eris Adderly,Unknown,Unknown,,Unknown
Esme Addison,Unknown,Unknown,,Unknown
Katherine Addison,Woman,White,False,Unknown
Maria Adelmann,Unknown,Unknown,,Unknown
Charlie Adhara,Woman,White,True,Unknown
Chimamanda Ngozi Adichie,Woman,Black,False,Unknown
Shelley Adina,Unknown,Unknown,,Unknown
Nana Kwame Adjei-Brenyah,Man,Black,False,Unknown
Sarah Adlakha,Woman,White,False,Unknown
Dahlia Adler,Woman,White,True,Unknown
Dominic Adler,Unknown,Unknown,,Unknown
I.O. Adler,Unknown,Unknown,,Unknown
Isabelle Adler,Unknown,Unknown,,Unknown
Aedilear,Unknown,Unknown,,Unknown
Aeschylus,Unknown,Unknown,,Unknown
Aeternum,Unknown,Unknown,,Unknown
Benjamin Aeveryn,Unknown,Unknown,,Unknown
Shinju Ageha,Unknown,Unknown,,Unknown
Amanda Aggie,Unknown,Unknown,,Unknown
Akumi Agitogi,Unknown,Unknown,,Unknown
Pemi Aguda,Woman,Black,False,Unknown
Juan Miguel Aguilera,Unknown,Unknown,,Unknown
Ann Aguirre,Woman,White,False,Unknown
Claudia Aguirre,Unknown,Unknown,,Unknown
Roberto Aguirre-Sacasa,Man,White,True,Unknown
Renée Ahdieh,Woman,Asian,False,Unknown
Ania Ahlborn,Unknown,Unknown,,Unknown
Charlotte von Ahlefeld,Woman,White,False,Unknown
Senaa Ahmad,Woman,Asian,False,Unknown
Saladin Ahmed,Man,Asian,False,Unknown
Mari Ahokoivu,Unknown,Unknown,,Unknown
G.A. Aiken,Woman,White,False,Unknown
B. Ain,Unknown,Unknown,,Unknown
Hiro Ainana,Man,Asian,False,Unknown
César Aira,Unknown,Unknown,,Unknown
G. Akella,Man,White,False,Unknown
W.M. Akers,Man,White,False,Unknown
Zamil Akhtar,Man,Asian,False,Unknown
Ueda Akinari,Man,Asian,False,Unknown
Godwin Akpan,Unknown,Unknown,,Unknown
Coeur Al'Aran,Unknown,Unknown,,Unknown
Day Al-Mohamed,Man,Asian,False,Unknown
Noor Al-Shanti,Woman,Asian,False,Unknown
Courtney Alameda,Unknown,Unknown,,Unknown
Rabih Alameddine,Unknown,Unknown,,Unknown
Craig Alanson,Man,White,False,Unknown
Edoardo Albert,Unknown,Unknown,,Unknown
Melissa Albert,Woman,White,False,Unknown
Alice Albinia,Unknown,Unknown,,Unknown
Mike Albo,Unknown,Unknown,,Unknown
Kathleen Alcalá,Unknown,Unknown,,Unknown
Godwin Alcpan,Unknown,Unknown,,Unknown
Mark Alder,Unknown,Unknown,,Unknown
Naomi Alderman,Woman,White,False,Unknown
Ben Alderson,Man,White,True,Unknown
Brian Aldiss,Man,White,False,Unknown
Alma Alexander,Woman,White,True,Unknown
C.D. Alexander,Unknown,Unknown,,Unknown
Cassie Alexander,Unknown,Unknown,,Unknown
Coleman Alexander,Man,White,False,Unknown
K.C. Alexander,Unknown,Unknown,,Unknown
Lloyd Alexander,Man,White,False,Unknown
William Alexander,Man,White,False,Unknown
Zeno Alexander,Unknown,Unknown,,Unknown
Sherman Alexie,Unknown,Unknown,,Unknown
Sara Alfageeh,Unknown,Unknown,,Unknown
A. Ali Hasan Ali,Man,Arabic,,United Arab Emirates
Dante Alighieri,Man,White,False,Unknown
Rafeeat Aliyu,Unknown,Unknown,,Unknown
Hanna Alkaf,Unknown,Unknown,,Unknown
Kathryn Allan,Unknown,Unknown,,Unknown
Nina Allan,Unknown,Unknown,,Unknown
Natasha Allegri,Unknown,Unknown,,Unknown
Brooklyn Allen,Unknown,Unknown,,Unknown
C.W. Allen,Unknown,Unknown,,Unknown
Heidi K. Allen,Unknown,Unknown,,Unknown
Jay Allen,Unknown,Unknown,,Unknown
Nan Allen,Woman,White,False,Unknown
Rachel Allen,Unknown,Unknown,,Unknown
Roger Macbride Allen,Unknown,Unknown,,Unknown
Samantha Allen,Unknown,Unknown,,Unknown
Sarah Addison Allen,Woman,White,False,Unknown
Isabel Allende,Woman,Hispanic,False,Unknown
Elford Alley,Unknown,Unknown,,Unknown
Wesley Allison,Unknown,Unknown,,Unknown
Aaron Allston,Man,White,False,Unknown
David Almond,Unknown,Unknown,,Unknown
Mark Alpert,Unknown,Unknown,,Unknown
Alphatart,Unknown,Unknown,,Unknown
Adrian Alphona,Unknown,Unknown,,Unknown
B.B. Alston,Man,Black,False,Unknown
Steve Alten,Unknown,Unknown,,Unknown
Rowan Altwood,Unknown,Unknown,,Unknown
Jennifer Lynn Alvarez,Woman,Hispanic,False,Unknown
Johnnie Alward,Unknown,Unknown,,Unknown
Reni K. Amayo,Unknown,Unknown,,Unknown
Amerie,Unknown,Unknown,,Unknown
Erin Ampersand,Unknown,Unknown,,Unknown
K. Ancrum,Woman,Black,True,Unknown
Joshua Anderle,Unknown,Unknown,,Unknown
Michael Anderle,Unknown,Unknown,,Unknown
Charlie Jane Anders,Woman,White,True,Unknown
J.J. Anders,Unknown,Unknown,,Unknown
Hans Christian Andersen,Unknown,Unknown,,Unknown
Sarah Andersen,Unknown,Unknown,,Unknown
Amorette Anderson,Woman,White,False,Unknown
Anderson,Unknown,Unknown,,Unknown
Annie Anderson,Unknown,Unknown,,Unknown
Brian D. Anderson,Unknown,Unknown,,Unknown
C.L. Anderson,Unknown,Unknown,,Unknown
Carol Beth Anderson,Unknown,Unknown,,Unknown
Douglas A. Anderson,Unknown,Unknown,,Unknown
E.M. Anderson,Unknown,Unknown,,Unknown
G.V. Anderson,Woman,White,False,Unknown
Gerry Anderson,Man,White,False,Unknown
Joseph Anderson,Unknown,Unknown,,Unknown
Justin Lee Anderson,Man,White,False,Unknown
Katherine Anderson,Unknown,Unknown,,Unknown
Kevin David Anderson,Unknown,Unknown,,Unknown
Kevin J. Anderson,Man,White,False,Unknown
Laurie Halse Anderson,Unknown,Unknown,,Unknown
Lily Anderson,Unknown,Unknown,,Unknown
M.T. Anderson,Unknown,Unknown,,Unknown
Melanie R. Anderson,Unknown,Unknown,,Unknown
Poul Anderson,Man,White,False,Unknown
Ros Anderson,Unknown,Unknown,,Unknown
Sophie Anderson,Unknown,Unknown,,Unknown
Tac Anderson,Unknown,Unknown,,Unknown
Taylor Anderson,Unknown,Unknown,,Unknown
Filipe Andrade,Unknown,Unknown,,Unknown
Mário de Andrade,Unknown,Unknown,,Unknown
Lady Li Andre,Unknown,Unknown,,Unknown
Michael Andreasen,Man,White,False,Unknown
Christiane M. Andrews,Unknown,Unknown,,Unknown
Claire M. Andrews,Unknown,Unknown,,Unknown
Eliza Andrews,Woman,White,False,Unknown
Gordon Andrews,Man,White,False,Unknown
Ilona Andrews,Unknown,White,False,Unknown
J.A. Andrews,Unknown,Unknown,,Unknown
K.E. Andrews,Unknown,Unknown,,Unknown
L.J. Andrews,Unknown,Unknown,,Unknown
Nicolette Andrews,Unknown,Unknown,,Unknown
Rowena Andrews,Unknown,Unknown,,Unknown
Ryan Andrews,Unknown,Unknown,,Unknown
S.P. Andrews,Unknown,Unknown,,Unknown
Natalie Andrewson,Unknown,Unknown,,Unknown
Janella Angeles,Woman,Asian,False,Unknown
Damien Angelica,Unknown,Unknown,,Unknown
Josephine Angelini,Unknown,Unknown,,Unknown
G.D. Angier,Unknown,Unknown,,Unknown
Clar Angkasa,Unknown,Unknown,,Unknown
Tiffani Angus,Unknown,Unknown,,Unknown
Sifton Tracey Anipare,Woman,Black,False,Unknown
Richard M. Ankers,Unknown,Unknown,,Unknown
David Annandale,Man,White,False,Unknown
Kyle Robert Annasenz,Unknown,Unknown,,Unknown
Meg Anne,Unknown,Unknown,,Unknown
Annihilation,Unknown,Unknown,,Unknown
Anonymous,Unknown,Unknown,,Unknown
Jason Anspach,Unknown,Unknown,,Unknown
Writing Ant,Unknown,Unknown,,Unknown
Lawrence Anthony,Man,White,False,Unknown
Piers Anthony,Man,White,False,Unknown
Kim Antieau,Unknown,Unknown,,Unknown
Emily Antoinette,Unknown,Unknown,,Unknown
Alexia Antoniou,Unknown,Unknown,,Unknown
Linda Antonsson,Unknown,Unknown,,Unknown
Hiroumi Aoi,Unknown,Unknown,,Unknown
Ryka Aoki,Woman,Asian,True,Unknown
Michiko Aoyama,Unknown,Unknown,,Unknown
John Appel,Unknown,Unknown,,Unknown
Shannon Appelcline,Unknown,Unknown,,Unknown
Eden Appiah-Kubi,Woman,Black,False,Unknown
Rotten Apple,Man,Asian,False,Unknown
Steven Appleby,Man,White,False,Unknown
K.A. Applegate,Woman,White,False,Unknown
Katherine Applegate,Unknown,Unknown,,Unknown
Antonia Aquilante,Unknown,Unknown,,Unknown
James Aquilone,Unknown,Unknown,,Unknown
Maya Arad,Woman,White,False,Unknown
Ali Araghi,Unknown,Unknown,,Unknown
Hiromu Arakawa,Unknown,Unknown,,Unknown
Hirohiko Araki,Man,Asian,False,Unknown
William D. Arand,Unknown,Unknown,,Unknown
Kenneth Arant,Man,White,False,Unknown
Dika Araújo,Unknown,Unknown,,Unknown
Shane Arbuthnott,Man,White,False,Unknown
C.J. Archer,Unknown,Unknown,,Unknown
Mia Archer,Unknown,Unknown,,Unknown
Zoe Archer,Unknown,Unknown,,Unknown
The Labyrinth's Archivist,Unknown,Unknown,,Unknown
Arcs,Unknown,Unknown,,Unknown
Kian N. Ardalan,Unknown,Unknown,,Unknown
Alys Arden,Unknown,Unknown,,Unknown
Katherine Arden,Woman,White,False,Unknown
Kristen Arden,Unknown,Unknown,,Unknown
Sam Argent,Woman,White,False,Unknown
Argentorum,Unknown,Unknown,,Unknown
Zack Argyle,Man,White,False,Unknown
Lesley Nneka Arimah,Unknown,Unknown,,Unknown
T.K. Arispe,Unknown,Unknown,,Unknown
Jennifer L. Armentrout,Woman,White,False,Unknown
Julia Armfield,Woman,White,True,Unknown
Ashe Armstrong,Man,White,False,Unknown
Charles Armstrong,Unknown,Unknown,,Unknown
K.L. Armstrong,Unknown,Unknown,,Unknown
Kelley Armstrong,Woman,White,False,Unknown
Eleanor Arnason,Woman,White,False,Unknown
David Arnold,Unknown,Unknown,,Unknown
Luke Arnold,Man,White,False,Unknown
Jason Arnopp,Unknown,Unknown,,Unknown
Robbie Arnott,Man,White,False,Unknown
Mary Arrigan,Unknown,Unknown,,Unknown
Mark Arrows,Unknown,Unknown,,Unknown
Jeannette Arroyo,Unknown,Unknown,,Unknown
Claudie Arseneault,Woman,White,True,Unknown
A.C. Arthur,Unknown,Unknown,,Unknown
Keri Arthur,Woman,White,False,Unknown
Anna Arvidsson,Unknown,Unknown,,Unknown
Stephen Aryan,Man,Asian,False,Unknown
Catherine Asaro,Unknown,Unknown,,Unknown
Asato Asato,Unknown,Unknown,,Unknown
Peter Christen Asbjørnsen,Unknown,Unknown,,Unknown
Holly Ash,Unknown,Unknown,,Unknown
Olivia Ash,Woman,White,False,Unknown
K.A. Ashcomb,Unknown,Unknown,,Unknown
Paula D. Ashe,Unknown,Unknown,,Unknown
April Asher,Unknown,Unknown,,Unknown
Bryan Asher,Unknown,Unknown,,Unknown
Ivy Asher,Unknown,Unknown,,Unknown
Neal Asher,Man,White,False,Unknown
Hitoshi Ashinano,Unknown,Unknown,,Unknown
Kemi Ashing-Giwa,Unknown,Unknown,,Unknown
Mike Ashley,Unknown,Unknown,,Unknown
J.P. Ashman,Unknown,Unknown,,Unknown
Lucia Ashta,Woman,Hispanic,False,Unknown
Brodi Ashton,Unknown,Unknown,,Unknown
Dyrk Ashton,Man,White,False,Unknown
Edward Ashton,Unknown,Unknown,,Unknown
Davis Ashura,Man,Asian,False,Unknown
R.K. Ashwick,Unknown,Unknown,,Unknown
