Author,gender,ethnicity,queer
A.K. Larkwood,Woman,White,TRUE
A.K.M. Beach,Unknown,White,FALSE
A.M. Dellamonica,Nonbinary,White,TRUE
A.M. Justice,Woman,White,FALSE
A.M. Sohma,Woman,White,FALSE
A.M. Strickland,Nonbinary,White,TRUE
A.R. Capetta,Nonbinary,White,TRUE
A.S. Etaski,Unknown,Unknown,None
A.T. Greenblatt,Woman,White,FALSE
A.W. Davidson,Man,White,FALSE
A.W. Exley,Woman,White,FALSE
Aaron A. Reed,Man,White,TRUE
Aaron Allston,Man,White,FALSE
Aaron Corwin,Man,White,FALSE
Aaron Dembski-Bowden,Man,White,FALSE
Aaron Hodges,Man,White,FALSE
Aaron Mahnke,Man,White,FALSE
Aaron Paquette,Man,Native,FALSE
Aaron Poochigian,Man,White,FALSE
Abi Elphinstone,Woman,White,FALSE
Abraham Riesman,Man,White,FALSE
Actus,Man,White,FALSE
Ada Hoffman,Nonbinary,White,TRUE
Ada Palmer,Woman,White,TRUE
Adalyn Grace,Woman,White,FALSE
Adam Cesare,Man,White,FALSE
Adam McOmber,Man,White,FALSE
Adam Nevill,Man,White,FALSE
Adam Roberts,Man,White,FALSE
Adam Silvera,Man,Hispanic,TRUE
Adam Soto,Man,Hispanic,FALSE
Adam Wing,Man,White,FALSE
Adam-Troy Castro,Man,White,FALSE
adastra339,Unknown,Unknown,None
Aden Polydoros,Man,White,TRUE
Aditi Khorana,Woman,Asian,FALSE
Adolfo Bioy Casares,Man,Hispanic,FALSE
Adrian Barnes,Man,White,FALSE
Adrian Collins,Unknown,Unknown,None
Adrian Tchaikovsky,Man,White,FALSE
Adrienne Maree Brown,Woman,Black,TRUE
Adrienne Tooley,Woman,White,TRUE
Adrienne Young,Woman,White,FALSE
Affonso Solano,Man,Hispanic,FALSE
Afia Atakora,Woman,Black,FALSE
Agnes Gomillion,Woman,Black,FALSE
Agustina Bazterrica,Woman,Hispanic,FALSE
Aiden Thomas,Man,Hispanic,TRUE
Aiki Flinthart,Woman,White,FALSE
Aimee Ogden,Woman,White,FALSE
Aimee Picchi,Woman,White,FALSE
Aisling Fowler,Woman,White,FALSE
Akemi Dawn Bowman,Woman,Asian,TRUE
Akira Toriyama,Man,Asian,FALSE
Akwaeke Emezi,Nonbinary,Black,TRUE
Al Ewing,Man,White,FALSE
Al Hess,Man,White,TRUE
Alain Damasio,Man,White,FALSE
Alan Dean Foster,Man,White,FALSE
Alan Garner,Man,White,FALSE
Alan Moore,Man,White,FALSE
Alastair Reynolds,Man,White,FALSE
Alaya Dawn Johnson,Woman,Black,FALSE
Albert Wetjen,Man,White,FALSE
Aldous Huxley,Man,White,FALSE
Alec Hutson,Man,White,FALSE
Alec Nevala-Lee,Man,Asian,FALSE
Alechia Dow,Woman,Black,FALSE
Alejandro Jodorowsky & Moebius,Man,Hispanic,TRUE
Alessandra Hazard,Woman,White,FALSE
Alessandro Manzetti,Man,White,FALSE
Alethea Kontis,Woman,White,FALSE
Alex Bledsoe,Man,White,FALSE
Alex Dalley MacFarlane,Woman,Unknown,None
Alex De Campi,Woman,White,FALSE
Alex Eiseman,Woman,White,TRUE
Alex Gilbert,Man,White,FALSE
Alex Irvine,Man,White,FALSE
Alex Marshall,Man,White,FALSE
Alex Myers,Man,White,TRUE
Alex Pheby,Man,White,FALSE
Alex Powell,Man,White,FALSE
Alex Robins,Man,White,FALSE
Alex S. Bradshaw,Man,White,FALSE
Alex Stewart,Man,White,FALSE
Alex Thomson,Man,White,FALSE
Alexander Darwin,Man,White,FALSE
Alexander Freed,Man,White,FALSE
Alexander Weinstein,Man,White,FALSE
Alexandra Bracken,Woman,White,FALSE
Alexandra Christo,Woman,White,FALSE
Alexandra Rowland,Nonbinary,White,TRUE
Alexia Gordon,Woman,Black,FALSE
Alexis Daria,Woman,Hispanic,FALSE
Alexis Hall,Man,White,TRUE
Alexis Henderson,Woman,Black,FALSE
Alexis Lothian,Woman,White,TRUE
Alfred Bester,Man,White,FALSE
Algernon Blackwood,Man,White,FALSE
Ali Shaw,Man,White,FALSE
Alice Hoffman,Woman,White,FALSE
Alice James,Woman,White,FALSE
Alicia Jasinska,Woman,White,TRUE
Alicia Wanstall-Burke,Woman,White,FALSE
Aliette de Bodard,Woman,Asian,TRUE
Alina Boyden,Woman,White,TRUE
Alison Goodman,Woman,White,FALSE
Alison Tam,Woman,Asian,FALSE
Alix E. Harrow,Woman,White,FALSE
Aliya Whiteley,Woman,White,FALSE
Allegra Pescatore,Woman,White,FALSE
Alli Temple,Woman,White,FALSE
Allie Therin,Woman,White,TRUE
Allison Saft,Woman,White,TRUE
Alma Alexander,Woman,White,TRUE
Alma Katsu,Woman,Asian,FALSE
Alvin Schwartz,Man,White,FALSE
Alyssa Cole,Woman,Black,FALSE
Alyssa Wong,Woman,Asian,TRUE
Amal El-Mohtar,Woman,Asian,FALSE
Amal El-Mohtar & Max Gladstone,Unknown,Asian,FALSE
Amanda Bouchet,Woman,White,FALSE
Amanda Creiglow,Woman,White,FALSE
Amanda Downum,Woman,White,TRUE
Amanda Foody,Woman,White,FALSE
Amanda Joy,Woman,Black,FALSE
Amanda Leduc,Woman,White,FALSE
Amanda Milo,Woman,Hispanic,FALSE
Amber Sparks,Woman,White,FALSE
Amelia Sides,Woman,White,FALSE
Amelie Wen Zhao,Woman,Asian,FALSE
Amerie Mi Marie Nicholson,Woman,White,FALSE
Ami McKay,Woman,White,FALSE
Amie Kaufman & Jay Kristoff,Unknown,White,FALSE
Amie Kaufman & Meagan Spooner,Woman,White,FALSE
Amitav Ghosh,Man,Asian,FALSE
Amorette Anderson,Woman,White,FALSE
Amos Tutuola,Man,Black,FALSE
Amy Harmon,Woman,White,FALSE
Amy Tintera,Woman,White,FALSE
Ana C. Reis,Woman,White,FALSE
Ana Davila Cardinal,Woman,Hispanic,FALSE
Ana Hurtado,Woman,Hispanic,FALSE
Ana Mardoll,Nonbinary,White,TRUE
AnaMaria Curtis,Woman,White,TRUE
Anatole Le Braz,Man,White,FALSE
Ander Louis,Man,White,FALSE
Andi C. Buchanan,Nonbinary,White,TRUE
Andre Norton,Woman,White,FALSE
Andrea Hairston,Woman,Black,FALSE
Andrea K. Host,Woman,White,FALSE
Andrea L. Bell & Yolanda Molina-Gavilan,Unknown,Hispanic,FALSE
Andrea Portes,Woman,White,FALSE
Andrea Stewart,Woman,Asian,FALSE
Andreas Eschbach,Man,White,FALSE
Andrew Caldecott,Man,White,FALSE
Andrew Hunter Murray,Man,White,FALSE
Andrew J. Heller,Man,White,FALSE
Andrew Karevik,Man,White,FALSE
Andrew Kelly Stewart,Man,White,FALSE
Andrew MacLean,Man,White,FALSE
Andrew May,Man,White,FALSE
Andrew Pyper,Man,White,FALSE
Andrew Rowe,Man,White,FALSE
Andrew Seiple,Man,White,FALSE
Andrew Taylor,Man,White,FALSE
Andrus Kivirahk,Man,White,FALSE
Andrzej Sapkowski,Man,White,FALSE
Andy Clark,Man,White,FALSE
Andy Giesler,Man,White,FALSE
Andy Weir,Man,White,FALSE
Angela Boord,Woman,White,FALSE
Angela Carter,Woman,White,FALSE
