Name,Author
14,Peter Clines
20th Century Ghosts,Joe Hill
A Deadly Education,Naomi Novik
A Fine and Private Place,Peter S. Beagle
A Head Full of Ghosts,Paul Tremblay
A Head Full of Ghosts ,Paul Tremblay
A Night in the Lonesome October,Roger Zelazny
A Night in the Lonesome October,Roger Zelazny
A Night in the Lonesome October,Roger Zelazny
A Night in the Lonesome October,Roger Zelazny
A Night in the Lonesome October,Roger Zelazny
A Song for The Void,Andrew C. Piazza
American Elsewhere,Robert Jackson Bennett
American Elsewhere,Robert Jackson Bennett
American Psycho,Bret Easton Ellis
Archangel,Margaret Fortune
Baltimore,Mike Mignola & Christopher Golden
Beloved,Toni Morrison
Beloved,Toni Morrison
Beloved,Toni Morrison
Between Two Fires,Christopher Buehlman
Between Two Fires,Christopher Buehlman
Bird Box,Josh Malerman
Bird Box,Josh Malerman
Black Ambrosia,Elizabeth Engstrom
Blindsight,Peter Watts
Blindsight,Peter Watts
Blindsight,Peter Watts
Blindsight,Peter Watts
Blood Meridian,Cormac McCarthy
Books of Blood,Clive Barker
Books of Blood,Clive Barker
Broken Monsters,Lauren Beukes
Brown Girl in the Ring,Nalo Hopkinson
Bunny,Mona Awad
Carmilla,J Sheridan Le Fanu
Carmilla,J Sheridan Le Fanu
Carrie,Stephen King
Carrie,Stephen King
Carrie,Stephen King
Carrie,Stephen King
Carrie ,Stephen King
Carrion Comfort,Dan Simmons
Children of the Night,Mercedes Lackey
Come Closer,Sara Gran
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Coraline,Neil Gaiman
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos,H.P. Lovecraft
Cthulhu Mythos ,H.P. Lovecraft
Cthulu Mythos,H.P. Lovecraft
Cujo,Stephen King
Dark Harvest,Norman Partridge
Dark Matter,Michelle Paver
Dark Matter,Michelle Paver
Dark Matter ,Michelle Paver
December,Phil Rickman
Desperation,Stephen King
Devolution,Max Brooks
Diamond Dogs,Alastair Reynolds
Diary,Chuck Palahniuk
Dracul,Dacre Stoker and J.D. Barker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula,Bram Stoker
Dracula ,Bram Stoker
Dread Nation,Justina Ireland
Dread Nation,Justina Ireland
Duma Key,Stephen King
Empire of Wild,Cherie Dimaline
Everything's Eventual,Stephen King
Experimental Film ,Gemma Files
Faerie Tale,Raymond E Feist
Faerie Tale,Raymond E Feist
Faerie Tale,Raymond E Feist
Fatale,Ed Brubaker & Sean Phhilips
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fevre Dream,George R.R. Martin
Fledgling,Octavia Butler
Fledgling,Octavia Butler
Fledgling,Octavia Butler
Fledgling,Octavia Butler
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein,Mary Shelley
Frankenstein ,Mary Shelley
Fugue State,Brian Evenson
Geek Love,Katherine Dunn
Generation Loss,Elizabeth Hand
Goosebumps,R.L. Stine
Goosebumps,R.L. Stine
Goth,Otsuichi
Handling the Undead,John Ajvide Lindqvist
Handling The Undead,John Ajvide Lindqvist
Harbour,John Ajvide Lindqvist
Harbour,John Ajvide Lindqvist
Harvest Home,Thomas Tryon
Heart Shaped Box,Joe Hill
Hell House,Richard Matheson
Hellboy,Mike Mignola
Her Body and Other Parties,Carmen Maria Machado
Hex,Thomas Olde Heuvelt
Hex ,Thomas Olde Heuvelt
Higurashi no Naku Koro ni,Ryukishi07
Hollow Kingdom,Kira Jane Buxton
Home Before Dark,Riley Sager
Home Before Dark,Riley Sager
Horrorstor,Grady Hendrix
Horrorstor,Grady Hendrix
Horrorstor,Grady Hendrix
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves,Mark Z. Danielewski
House of Leaves  ,Mark Z. Danielewski
House of Salt and Sorrows,Erin A Craig
House of Salt and Sorrows,Erin A Craig
House of Salt and Sorrows,Erin A Craig
Hyperion,Dan Simmons
Hyperion,Dan Simmons
Hyperion,Dan Simmons
I am Legend,Richard Matheson
I am Legend,Richard Matheson
I am Legend,Richard Matheson
I am Legend,Richard Matheson
I am Legend,Richard Matheson
I am Legend,Richard Matheson
I am Not a Serial Killer,Dan Wells
I am Not a Serial Killer,Dan Wells
I Have No Mouth and I Must Scream,Harlan Ellison
I'm the King of the Castle,Susan Hill
Iconoclasts,Mike Shel
Imajica,Clive Barker
Imajica,Clive Barker
In the House in the Dark of the Woods,Laird Hunt
In the Miso Soup,Ryu Murakami
In the Shadow of Spindrift House,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Drowning Deep,Mira Grant
Into the Out Of,Alan Dean Foster
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It,Stephen King
It ,Stephen King
John Dies at the End,David Wong
Jurassic Park,Michael Crichton
Jurassic Park,Michael Crichton
Just After Sunset,Stephen King
King Rat,China Mieville
Krampus: The Yule Lord,Brom
Last Days,Adam Nevill
Last Days,Brian Evenson
Laundry Files,Charles Stross
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Let the Right One In,John Ajvide Lindqvist
Little Star,John Ajvide Lindqvist
Locke & Key,Joe Hill
Locke & Key,Joe Hill
Locke & Key,Joe Hill
Locke & Key,Joe Hill
Lockwood & Co.,Jonathan Stroud
Lovecraft Country,Matt Ruff
Mexican Gothic,Silvia Moreno Garcia
Mexican Gothic,Silvia Moreno-Garcia
Mexican Gothic,Silvia Moreno-Garcia
Mexican Gothic,Silvia Moreno-Garcia
Mexican Gothic,Silvia Moreno-Garcia
Mexican Gothic,Silvia Moreno-Garcia
Mexican Gothic,Silvia Moreno-Garcia
Mexican Gothic,Silvia Moreno-Garcia
Misery,Stephen King
Misery,Stephen King
Misery,Stephen King
Misery,Stephen King
Misery ,Stephen King
Mongrels,Stephen Graham Jones
Monstress,Marjorie Liu and Sana Takeda
Monstress,Marjorie Liu and Sana Takeda
Monstress,Marjorie Liu and Sana Takeda
Moon of the Crusted Snow,Waubgeshig Rice
Moon of the Crusted Snow,Waubgeshig Rice
Moon of the Crusted Snow,Waubgeshig Rice
My Soul to Keep,Tananarive Due
My Soul to Keep,Tananarive Due
Night Film ,Marisha Pessl
Night Shift,Stephen King
Night's Master,Tanith Lee
Nightflyers,George R.R. Martin
Ninth House,Leigh Bardugo
Northwest Passages,Barbara Roden
NOS4A2,Joe Hill
NOS4A2,Joe Hill
Odd Thomas,Dean Koontz
Our Lady of Darkness,Fritz Leiber
Pact,Wildbow
Perdido Street Station,China Mieville
Perdido Street Station,China Mieville
Pet Sematary,Stephen King
Pet Sematary,Stephen King
Pet Sematary,Stephen King
Pet Sematary,Stephen King
Pet Sematary,Stephen King
Pine,Francine Toon
Plain Bad Heroines,Emily M. Dansforth
Prey,Michael Crichton
Relic,Douglas Preston and Lincoln Child
Ring,Koji Suzuki
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli Clark
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli­ Clark
Ring Shout,P. Djeli­ Clark
Ring Shout ,P. Djeli Clark
Rosemary's Baby,Ira Levin
Sacrament,Clive Barker
Salem's Lot,Stephen King
Salem's Lot,Stephen King
Salem's Lot,Stephen King
Salem's Lot,Stephen King
Salem's Lot,Stephen King
Salem's Lot,Stephen King
Sandkings,George R.R. Martin
Secret Books of Paradys,Tanith Lee
Shadows for Silence in the Forests of Hell,Brandon Sanderson
She Said Destroy,Nadia Bulkin
Ship of Fools,Richard Paul Russo
Six Wakes,Mur Lafferty
Skeleton Crew,Stephen King
Skeleton Crew,Stephen King
Skeleton Crew,Stephen King
Small Spaces,Katherine Arden
Small Spaces,Katherine Arden
Small Spaces,Katherine Arden
Small Spaces,Katherine Arden
Something Wicked This Way Comes,Ray Bradbury
Something Wicked This Way Comes,Ray Bradbury
Something Wicked This Way Comes,Ray Bradbury
Something Wicked This Way Comes,Ray Bradbury
Something Wicked This Way Comes,Ray Bradbury
Song of Kali,Dan Simmons
Song of Kali,Dan Simmons
Song of Kali,Dan Simmons
Song of Kali,Dan Simmons
Songs of a Dead Dreamer and Grimscribe,Thomas Ligotti
Sorrowland,Rivers Solomon
Sorrowland,Rivers Solomon
Sorrowland,Rivers Solomon
Sorrowland,Rivers Solomon
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Southern Reach,Jeff VanderMeer
Spectral Shadows,Robert Westall
Sphere,Michael Crichton
Sphere,Michael Crichton
Stranded,Bracken MacLeod
Summer of Night,Dan Simmons
Swan Song,Robert McCammon
Tales of Moonlight and Rain,Ueda Akinari
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton
The Amityville Horror,Jay Anson
The Bacchae,Euripides
The Ballad of Black Tom,Victor LaValle
The Ballad of Black Tom,Victor LaValle
The Ballad of Black Tom,Victor LaValle
The Ballad of Black Tom,Victor LaValle
The Ballad of Black Tom,Victor LaValle
The Ballad of Black Tom ,Victor LaValle
The Beauty ,Aliya Whiteley
The Bloody Chamber,Angela Carter
The Bone Mother,David Demchuk
The Book of Accidents ,Chuck Wendig
The Call,Peadar O'Guilin
The Changeling,Victor LaValle
The Child Thief,Brom
The Cipher,Kathe Koja
The Collector,John Fowles
The Complete Works of Edgar Allan Poe,Edgar Allan Poe
The Complete Works of Edgar Allan Poe,Edgar Allan Poe
The Complete Works of Edgar Allan Poe,Edgar Allan Poe
The Complete Works of Edgar Allan Poe,Edgar Allan Poe
The Complete Works of Edgar Allan Poe,Edgar Allen Poe
The Complete Works of Edgar Allan Poe,Edgar Allen Poe
The Complete Works of Edgar Allan Poe,Edgar Allen Poe
The Complete Works of Edgar Allen Poe,Edgar Allen Poe
The Dangers of Smoking in Bed,Mariana Enri­quez
The Dark Descent of Elizabeth Frankenstein,Kiersten White
The Dark Descent of Elizabeth Frankenstein ,Kiersten White
The Dark Tower,Stephen King
The Dark Tower,Stephen King
The Dark Tower,Stephen King
The Day of the Triffids,John Wyndham
The Devil Aspect,Craig Russell
The Devourers,Indra Das
The Devourers,Indra Das
The Drifting Classroom,Kazuo Umezu
The Drowning Girl,Caitlin R. Kiernan
The Dry Salvages,Caitlin R. Kiernan
The Elementals,Michael McDowell
The Enigma of Amigara Fault,Junji Ito
The Exorcist,William Peter Blatty
The Faceless Old Woman Who Secretly Lives in Your Home,Joseph Fink & Jeffrey Cranor
The Fisherman,John Langan
The Fisherman,John Langan
The Fisherman,John Langan
The Fisherman,John Langan
The Fisherman ,John Langan
The German,Lee Thomas
The Girl Who Can See Them,Tomoki Izumi
The Girl Who Loved Tom Gordon,Stephen King
The Girl With All the Gifts,M.R. Carey
The Girl With All the Gifts,M.R. Carey
The Girl With All the Gifts,M.R. Carey
The Girl With All the Gifts,M.R. Carey
The Graveyard Apartment,Mariko Koike
The Graveyard Book,Neil Gaiman
The Graveyard Book,Neil Gaiman
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House,Shirley Jackson
The Haunting of Hill House ,Shirley Jackson
The Hellbound Heart,Clive Barker
