Name,Author
Darkhaven,A.F.E. Smith
All the Murmuring Bones,A.G. Slatter
The Serpent Gates,A.K. Larkwood
The Serpent Gates,A.K. Larkwood
The Woern Saga,A.M. Justice
Second Age of Retha,A.M. Sohma
The Outside,Ada Hoffman
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Terra Ignota,Ada Palmer
Mindspace Investigations,Alex Hughes
Her Smoke Rose Up Forever,Alice B. Sheldon / James Tiptree Jr.
Practical Magic,Alice Hoffman
The Coraidic Sagas,Alicia Wanstall Burke
The Universe of Xuya,Aliette de Bodard
In The Vanisher's Palace,Aliette de Bodard
Dominion of the Fallen,Aliette de Bodard
Obsidian and Blood,Aliette de Bodard
Dominion of the Fallen,Aliette de Bodard
The Universe of Xuya,Aliette de Bodard
Obsidian and Blood,Aliette de Bodard
The Books of Pellinor,Alison Croggon
The Books of Pellinor,Alison Croggon
The Books of Pellinor,Alison Croggon
Eon,Alison Goodman
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
Jin-Shei,Alma Alexander
The Bird and the Sword Chronicles,Amy Harmon
What the Wind Knows,Amy Harmon
Witch World Series,Andre Norton
The Halfblood Chronicles,Andre Norton and Mercedes Lackey
The Drowning Empire,Andrea Stewart
The Drowning Empire,Andrea Stewart
The Drowning Empire,Andrea Stewart
Eterean Empire,Angela Boord
Eterean Empire,Angela Boord
Eterean Empire,Angela Boord
Eterean Empire,Angela Boord
The Bloody Chamber,Angela Carter
The Bloody Chamber,Angela Carter
The Infernal Desire Machines of Doctor Hoffman,Angela Carter
Kalpa Imperial,Angélica Gorodischer
Verity Fassbinder Series,Angela Slatter
Kalpa Imperial,Angélica Gorodischer
Kalpa Imperial,Angélica Gorodischer
