Name,Author
A Catalogue for the End of Humanity,Timothy Hickson
A Charm of Magpies,K.J. Charles
A Charm of Magpies,K.J. Charles
A Charm of Magpies Series,K.J. Charles
A Dirge for Cascius,Calum Lott
A Dirge for Cascius,Calum Lott
A Dirge for Cascius,Calum Lott
A Dirge for Cascius,Calum Lott
A Dirge for Cassius,Calum Lott
A Fragile Enchantment,Allison Saft
A Gamble of Gods,Mitriel Faywood
A Grave for Us All,Michael Roberti
A Grave For Us All by Michael Roberti,Michael Roberti
A Killer and A King,Tom Dumbrell
A Market of Dreams and Destiny,Trip Galey
A Marriage Of Undead Inconvenience,Stephanie Burgis
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Memory of Song,Scott Palmer
A Practical Guide to Evil,ErraticErrata
A Practical Guide to Evil,ErraticErrata
A Practical Guide to Sorcery,Azalea Ellis
A Quiet Vengeance,Tim Hardie
A Ritual of Flesh,Lee C. Conley
A Rival Most Vial,R.K. Ashwick
A Rival Most Vial,R.K. Ashwick
A Schism of Souls,Cal Logan
A Song for the Void,Andrew C. Piazza
A Stitch in Time,Frasier Armitage
A Story Spun in Scarlet,R. Dugan
A Time o Dragons,Philip C. Quaintrell
A Touch of Light,Thiago Abdalla
A Touch of Light,Thiago Abdalla
A Troll Walks Into A Bar,Douglas Lumsden
A Voice That Thunders,Cully Mack
A Wizard's Guide to Defensive Baking,T. Kingfisher
A Wizard's Guide to Defensive Baking,T. Kingfisher
A Wizard's Guide to Defensive Baking,T. Kingfisher
A Wizard's Guide to Defensive Baking,T. Kingfisher
A Wizard's Guide to Defensive Baking,T. Kingfisher
A Wizard's Guide to Defensive Baking,T. Kingfisher
A Wizard’s Guide to Defensive Baking,T. Kingfisher
A Wreck of Witches,Nia Quinn
Aching God,Mike Shel
Aching God,Mike Shel
Aching God,Mike Shel
Aching God by Mike Shel,Mike Shel
After the Harrowing (Afterlands #1),Boots
After the Winter,Mark R. Healy
Age of Arrogance,Timothy Wolff
Aiduel's Sin,Daniel T Jackson
Along the Razor's Edge,Rob J. Hayes
Altar on the Village Green by Nathan Hall,Nathan Hall
Amanojaku,Damien Lutz
Amefyre Series,RA Sandpiper
Among the Razor Edge,Rob J. Hayes
Amra Thetys,M. Mcclung
An Altar on the Village Green,Nathan Hall
An Altar on the Village Green,Nathan Hall
An Altar on the Village Green,Nathan Hall
An Armenian Affair,James Christian
An Exile of Water & Gold,Joshua Walker
An Exile of Water & Gold,Joshua Walker
An Exile of Water & Gold,Joshua Walker
An Exile of Water & Gold,Joshua Walker
An Exile of Water and Gold,Josh Walker
An Exile of Water and Gold,Joshua Walker
An Exile of Water and Gold,Joshua Walker
An Exile Of Water And Gold,Joshua Walker
An Exile of Water and Gold,Joshua Walker
Andy Peloquin,Darkblade Series
Ara Thetys,Michael McClung
Arcane Ascension,Andrew Rowe
Arcane Ascension,Andrew Rowe
Arcane Ascension,Andrew Rowe
Arcane Ascension,Andrew Rowe
Arcane Ascension,Andrew Rowe
Arcane Ascension,Andrew Rowe
Ascendant,Michael R. Miller
Ascendant,Michael R. Miller
Ascendant,Michael R. Miller
Ascendant,Michael R. Miller
Ascendant,Michael R. Miller
Ascendant songs of chaos,Michael R. Miller
Ash & Sand trilogy,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ash and Sand,Richard Nell
Ashes of Avarin,Thiago Abdalla.
Ashes of Averin,Thiago Abdalla
Axtara,
Baker Thief,Claudie Arsenault
Baker Thief,Claudie Arseneault
Barnaby the Wanderer,Raymond St. Elmo
Barnaby the Wanderer,Raymond St. Elmo
Bastion,Phil Tucker
Bastion,Phil Tucker
Bastion,Phil Tucker
Beastcall,Kaden Love
Beaufort Scales series,Kim M Watt
Beneath the Dragoneye Moons,Selkie Myth
Beware of Chicken,CasualFarmer
Beware of Chicken,CasualFarmer
Beware of Chicken,CasualFarmer
Beware of Chicken,CasualFarmer
Beware of Chicken,CasualFarmer
Beware of Chicken,CasualFarmer
Beware of Chicken,CasualFarmer
Beyond Redemption,Michael R. Fletcher
Birth of Assassins,Jon Cronshaw
Black Stone Heart,Michael R. Fletcher
Black Stone Heart,Michael R. Fletcher
Black Stone Heart,Michael R. Fletcher
Black Stone Heart,Michael R. Fletcher
Black Stone Heart,Michael R. Fletcher
Blackbirds Sing,Aiki Flinthart
Bladecaster Ephemera,Tim Akers
Blood Grace,Vela Roth
Blood Heir (Aurelia Rider series) by Ilona Andrews,Ilona Andrews
Blood Heir (Aurelia Rider series) by Ilona Andrews,Ilona Anndrews
Blood Over Bright Haven,M.L. Wang
Blood Over Bright Haven,M.L. Wang
Blood over Bright Haven,M.L. Wang
Blood Over Bright Haven,M.L. Wang
Bloodwoven,G. J. Terral
Bloodwoven,G. J. Terral
Bob the Wizard,M.V. Prindle
Bobiverse series,Dennis E. Taylor
Bonded by Thorns,Elizabeth Helen
Bones to the Wind,Tatiana Obey
Bonnie Jacoby,Dreams of a Dragon Girl
Bookshops & Barbarians,Morgan Stang
Born of Light and Shadow,Ryan Kirk (Legend of Adani #1)
Bound and the Broken,Ryan Cahill
Bound and the Broken,Ryan Cahill
Bound and the Broken,Ryan Cahill
Bound and the Broken,Ryan Cahill
Bound and the Broken,Ryan Cahill
Broken Stone Chronicle,Damien Black
Burn Red Skies,Kerstin Espinosa Rosero
Burn Red Skies,Kerstin Espinosa Rosero
Cassandra Broadbent,Daughter of No World
Charm of Magpies,K.J. Charles
Charm of Magpies,K.J. Charles
Chasing Graves,Ben Galley (Chasing Graves #1)
Child of the Night Guild,Andy Peloquin
Child of the Night Guild,Andy Peloquin
Children of the Earth,Amanda Auler
Chloe's Kingdom,Gregory Michael
Chronicles of Gam Gam,Adam Holcombe
Chronicles of the Black Gate,Phil Tucker
Chronicles of the Black Gate,Phil Tucker
Chronicles Of The Endless War,LM Douglas
Coal Gets In Your Veins,Cat Rector
Coal Gets In Your Veins,Cat Rector
Cold West,Clayton Snyder
Cold West,Clayton Snyder
Cold West,Clayton Snyder
Cold West,Clayton Snyder
Cold West,Clayton Snyder
Cold West,Clayton Snyder
Coliseum Aracanist,Shamii Stoval
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle,Will Wight
Cradle by Will Wight,Will Wight
Cradle of Sea & Soil,Bernie Anés Paz
Cradle series,Will Wight
Credible Threats,Daniel Meyer
Crown and Tide,Michael Roberti
Curse of the Fallen,H.C. Newell
Cursed Cocktails,S.L.Rowland
Cute Mutants Vol 1: Mutant Pride,S.J. Whitby
D.L. Jennings,Highglade Trilogy
Daniel Faust,Craig Schaefer
Daniel Faust series,Craig Schaefer
Daniel Faust series,Craig Schaefer
Dark Oak,Jacob Sannox
Dark Oak Trilogy,Jacob Sannox
Dark Profit Saga,J. Zachary Pike
Dark Profits Saga,J. Zachary Pike
Dark Profits Saga,J. Zachary Pike
Dark Space,Lisa Henry
Darkblade Assassin,Andy Peloquin
Daughter of the Beast,EC Greaves
David Hopkins,The Dryads Crown Series
Dawn of the Darkest Day,K.C. Woodruff
Dead Rockstar,Lilah Lawson
Dead Star,Simon Kewin
Dear Spellbook,Peter J. Lee
Death's Disciple,Emma L. Adams
Death's Disciple by Emma L Adams,Emma L. Adams
Defiance of the Fall,JF Brink
Defiant songs of chaos,Michael R. Miller
Demon World Boba Shop,R. C. Joshua
Demon’s Tear,R. E. Sanders
Demon's Tear by R E Sanders,R.E. Sanders
"Demons, Ink",Clayton W. Snyder
DFZ,Rachel Aaron
Die Young,Morgan Shank
Dionysus in Wisconsin,E.H. Lupton
Dog Country,Malcolm F. Cross
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dragon Mage,M.L. Spencer
Dream of Death City,P.J. Nwosu
Dream of Death City,PJ Nwosu
Dreams of the Dying,Nicolas Lietzau
Dreams of the Dying,Nicolas Lietzau
Dreams of the Dying,Nicolas Lietzau
Dreams of the Dying,Nicolas Lietzau
Duckett & Dyer,G.M. Nair
Duckett and Dyer: Dicks for Hire,G.M. Nair
Dungeon Crawler Carl,Matt Dinniman
Dungeon Crawler Carl,Matt Dinniman
Dyer Street Punk Witches,Phil Williams
Earthbound,Katee Stein
Earthbound,Katee Stein
Earthbound,Katee Stein
Echoes of the Ancients,Isabel Pelech
Echoes Saga,Philip C. Quaintrell
Echoes Saga,Philip C. Quaintrell
Elder Empire,Will Wight
Elder Empire,Will Wight
Elder Empire,Will Wight
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy Of A Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elegy of a Fragmented Vineyard,Kaden Love
Elements of Time Winds of Change,Same Paisely
Eleventh Cycle,Kian N. Ardalan
Eleventh Cycle,Kian N. Ardalan
Eleventh Cycle,Kian N. Ardalan
Eleventh Cycle,Kian N. Ardalan
Eleventh Cycle,Kian N. Ardalan
Elmerïan Chronicles,Corey Ratliff
Eluthienn: A Tale of the Fromryr,Sam Middleton
Emaneska,Ben Galley
Eterean Empire,Angela Boord
Eterean Empire,Angela Boord
Eterean Empire,Angela Boord
Eterean Empire,Angela Boord
Ethereal Earth,Josh Erikson
Exile,A.J. Calvin
Faithless,Graham Austin King
"Fall, Sacred Apple",Emory Glass
Fallen Light,HC Newell
Fallen Light series by HC Newell,H.C. Newell
Falling Into Oblivion,Aaron M Payne
Falling Into Oblivion,Aaron M Payne
Far Removed,C. B. Lansdell
Far Removed,C.B. Landsell
Fixer,James Jakins
Flight of the Darkstar Dragon by Benedict Patrick,Benedict patrick
Floating Hotel,Grace Curtis
Fogbound,N.J. Alexander
For A Few Days More,Z. B. Steele
Forging the Guild,Gray Holborn
Fortune's Fool,Angela Boord
Fortunes Fool,Angela Brood
Four of Mercies,C.M. Caplan
"Fred, the Vampire Accountant",Drew Hayes
"Fred, the Vampire Accountant",Drew Hayes
Free the Darkness,Kel Kade
Ghost Detective,R.W. Wallace
Ghosts of Tomorrow,Michael R. Fletcher
Gloom,Michael Nicol
God Eater,Rob J. Hayes.
Godeater,Rob J. Hayes
Godeater Saga,Rob J. Hayes
Godless Lands,Sean Crow
Godsblood Tragedy,Bill Adams
Grave for us all,Michael Roberti
Gravesong,Pirateaba
Gravesong,Pirateaba
Guides for Dating Vampires,D.N. Bryn
Gun MetalGods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Gunmetal Gods,Zamil Akhtar
Guns of Liberty,Jamie Mauchline
Half a Lion,Palle K. Oswald
Hall of Bones,Tim Hardie
Hall of Bones,Tim Hardie
Hall of Bones,Tim Hardie
Hall of Bones,Tim Hardie
Hammer and Crucible,Cameron Cooper
Hand of God,Yuval Kordov
Harbinger of Justice,Andrew Watson
Harbinger of Justice,Andrew Watson
Harbinger of Justice,Andrew Watson
Harbinger of Justice,Andrew Watson
Harbinger of Justice,Andrew Watson
Harbinger of Justice – Andrew Watson,Amdrew Watson
Harkworth Hall,L. S. Johnson
Harmony Black,Craig Schaefer
he Herbwitch Princess,Ireen Chau
He Who Fights with Monsters,Shirtaloon
Heart,Audrey Frey
Heart Of Stone,Ben Galley
Heart of Stone,Johannes T. Evans
Heartstikers,Rachel Aaron
Heartstrikers,Rachel Aaron
Heartstrikers,Rachel Aaron
Heartstrikers,Rachel Aaron
Heartstrikers,Rachel Aaron
Heartstrikers,Rachel Aaron
Heartstrikers,Rachel Aaron
Hell For Hire,Rachel Aaron
Herald,Rob J. Hayes
Herald,Rob J. Hayes
Herald,Rob J. Hayes
Heretical Fishing,Haylock Jobson
Hills of Heather and Bone,K.E. Andrews
Hills of Heather and Bone,K.E. Andrews
Hills of Heather and Bone,K.E. Andrews
Hills of Heather and Bone,K.E. Andrews
Hills of Heather and Bone,K.E. Andrews
His Ragged Company,Rance D Denton
Hollowbeck Cozy Mysteries,Amelia Ash
Honey and Pepper,A.J. Demas
Houndstooth,Travis M. Riddle
How to Defeat a Demon King in 10 Easy Steps,Andrew Rowe
How to Defeat a Demon King in Ten Easy Steps,Andrew Rowe
However Many Must Die,Phil Williams
However Many Must Die by Phil Williams,Phil Williams
Hybrid Helix,J.C.M. Berne
Hybrid Helix,J.C.M. Berne
Hybrid Helix,J.C.M. Berne
Hymn of Memory,S. Jean
I am King,Damien Shillingford
Icebreaker,Steven William Hannah
Iconoclast trilogy,Mike Shel
Iconoclasts,Mike Shel
Iconoclasts,Mike Shel
Iconoclasts by Mike Shel,Mike Shel
Illborn,Daniel T. Jackson
Illborn,Daniel T. Jackson
Illborn,Daniel Jackson
Illborn Saga,Daniel T Jackson
Imbued,Helyna Clove
Imbued,Helyna L Clove
Immortals Descending,Iris Foxglove
In Darkness Cast,Jonathan Shuerger
Initiation,Alethea Faust
Ink For Blood,Kevin Weir
Inkeepers,Ilona Andrews
Inkeper chronicles by Ilona Andrews,Ilona Andrews
Inner Universe series,Natalie Kelda
Innkeeper Chronicles,Ilona Andrews
Iron Truth,S.A. Tholin
Isla's Reach,Francisca Liliana
Isla's Reach,Francisca Liliana
It Would Have Been a Great Story,Emma Hill
Journals of Evander Tailor,Tobias Begley
Kept in Cages,Phil Williams
Kill Your Darlings,L. E. Harper
King's Dark Tidings,Kel Kade
Kingdom of Ash and Shadow,Lindsey Elizabeth
Kingfountain,Jeff Wheeler
Kings of Paradise,Richard Nell
Kings of Paradise,Richard Nell
Kings of Paradise,Richard Nell
Kings of Paradise,Richard Nell
Kingsrise,Anne Mattias
Kitty Cat Kill Sat: A Feline Space Adventure,Argus
