Name,Author
Beowulf,Unknown
A Nameless Witch,A. Lee Martinez
Emperor Mollusk versus the Sinister Brain,A. Lee Martinez
The Path of Thorns,A.G. Slatter
The Path of Thorns,A.G. Slatter
Hunters Unlucky,Abigail Hilton
The Golem of Brooklyn \,Adam Mansbach
They Both Die at the End,Adam Silvera
The Isle of Winter Night \,Adrian Kaas
Cage of Souls,Adrian Tchaikovsky
Cage of Souls,Adrian Tchaikovsky
Cage of Souls,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Children of Time,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Elder Race,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
Guns of the Dawn,Adrian Tchaikovsky
House of Open Wounds,Adrian Tchaikovsky
Made Things,Adrian Tchaikovsky
Made Things,Adrian Tchaikovsky
Ogres ,Adrian Tchaikovsky
Spiderlight,Adrian Tchaikovsky
Spiderlight,Adrian Tchaikovsky
The Doors of Eden,Adrian Tchaikovsky
Pet,Akwaeke Emezi
La Horde du Contrevent,Alain Damasio
Watchmen,Alan Moore
Watchmen,Alan Moore
Eversion,Alastair Reynolds
House of Suns,Alastair Reynolds
Brave New World,Aldous Huxley
Brave New World,Aldous Huxley
Brave New World,Aldous Huxley
Brave New World,Aldous Huxley
Brave New World,Aldous Huxley
The Shadows of Dust,Alec Hutson
A Conspiracy of Truths,Alexandra Rowland
A Conspiracy of Truths,Alexandra Rowland
A Conspiracy of Truths,Alexandra Rowland
Some by Virtue Fall,Alexandra Rowland
The Count of Monte Cristo \,Alexandre Dumas
The Three Musketeers \,Alexandre Dumas
The Stars My Destination,Alfred Bester
A Dark and Drowning Tide,Alison Saft
Starling House,Alix E. Harrow
Starling House,Alix E. Harrow
Starling House,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Once and Future Witches,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
The Ten Thousand Doors of January,Alix E. Harrow
